threshold,accuracy,macro_f1
0.0,0.3316762336089315,0.2836532830940933
0.01,0.3353520459213229,0.2890334737564942
0.02,0.3359418610774659,0.2898928356680621
0.03,0.33665806519563957,0.29093489479575185
0.04,0.3373426720733056,0.29192949686661035
0.05,0.3384275106640687,0.2935025998849686
0.06,0.33918584443625255,0.2946000987089519
0.07,0.33978619200589816,0.2954677043219929
0.08,0.34058665543209227,0.2966228024436185
0.09,0.3411764705882353,0.29747268115597897
0.1,0.3418821422929064,0.2984881154706984
0.11,0.342977513297172,0.3000613345246355
0.12,0.3436305229343304,0.30099749849254775
0.13,0.34410448154194534,0.30167617199018926
0.14,0.34454684290905263,0.30230899468998595
0.15,0.34507346358418034,0.30306159398302185
0.16,0.34561061667281057,0.30382839501540765
0.17,0.3463689504449945,0.3049094799455606
0.18,0.3471799462846911,0.30606375788445667
0.19,0.3478750855758597,0.30705159591917514
0.2,0.34841223866448995,0.3078139528130903
0.21,0.3489599241666228,0.30859038735953076
0.22,0.3494233503607352,0.3092466855398577
0.23,0.34983411448733476,0.3098278806706374
0.24,0.3501395544789088,0.31025973294117526
0.25,0.3505819158460161,0.3108846934429717
0.26,0.35105587445363107,0.311553664045557
0.27,0.3515930275422613,0.31231104471160515
0.28,0.3520353889093686,0.3129341442904482
0.29,0.3526673337195218,0.31382330865782304
0.3,0.3533624730106904,0.3148000643047485
0.31,0.3542366633314024,0.31602644451863027
0.32,0.3552267102006425,0.31741272516580554
0.33,0.3561430301753647,0.31869329186022033
0.34,0.35717520669861497,0.32026713366672177
0.35,0.35726999842013796,0.3207577158951598
0.36,0.3575859708252146,0.32135738336856035
0.37,0.3577755542682606,0.3218430364515881
0.38,0.3576807625467376,0.322106509624677
0.39,0.3579440728843014,0.32275940679302023
0.4,0.3569224287745537,0.32235478519914196
0.41,0.3568487018800358,0.3226463001229016
0.42,0.3573858549686661,0.3235249636362246
0.43,0.35798620253831165,0.3244546022308784
0.44,0.3580177997788193,0.3245911682410123
0.45,0.3579335404707989,0.3246355829002606
0.46,0.35789141081678866,0.32474392233419386
0.47,0.35796513771130656,0.3249174758161417
0.48,0.357575438411712,0.3247752294686447
0.49,0.35697509084206647,0.324391047506276
0.5,0.3559745115593238,0.3237689861038597
0.51,0.35527937226815526,0.32339088527314747
0.52,0.3549844646900837,0.32325006818897806
0.53,0.35485807572805306,0.3232662793158283
0.54,0.35452103849597133,0.3230741291309628
0.55,0.3544367791879509,0.3231274184776457
0.56,0.35436305229343307,0.3231497101182129
0.57,0.3541418716098794,0.32306854145063746
0.58,0.35422613091789984,0.3232528199471435
0.59,0.35424719574490493,0.3233770687635117
0.6,0.35424719574490493,0.3234854180443233
0.61,0.3538258992048028,0.3233870094931142
0.62,0.35222497235241457,0.3222725498931212
0.63,0.35224603717941966,0.3226887401713087
0.64,0.3541840012638896,0.3254187574159544
0.65,0.355332034335668,0.32703536398364114
0.66,0.35564800674074465,0.32793816519800506
0.67,0.35541629364368843,0.3283874303593876
0.68,0.3562378218968877,0.3297720835573302
0.69,0.3565748591289694,0.33044301217014227
0.7,0.35717520669861497,0.33138818357170763
0.71,0.3573015956606456,0.33173772848321814
0.72,0.3570277529095792,0.3317840130090277
0.73,0.35611143293485703,0.33124270422669216
0.74,0.35620622465638,0.33150729033364923
0.75,0.35663805360998474,0.33207069340413253
0.76,0.35711201221759964,0.3326885420094482
0.77,0.35762810047922483,0.3333606921937901
0.78,0.3579967349518142,0.3338404056221483
0.79,0.35841803149191637,0.3343882484508478
0.8,0.3588498604455211,0.3349493441654203
0.81,0.35923955974511557,0.3354553144248655
0.82,0.3597872452472484,0.33616579259924584
0.83,0.3603665279898889,0.3369164794488159
0.84,0.36082995418400127,0.33751645264041635
0.85,0.3618094686397388,0.3387828973516004
0.86,0.36291537205750696,0.3402100228111894
0.87,0.3641160671967981,0.34175620948542085
0.88,0.3654326188846174,0.34344770543797076
0.89,0.3660119016272579,0.3441906825534444
0.9,0.3668755595344673,0.3452969462387704
0.91,0.3671599346990363,0.3456608255425484
0.92,0.3674548422771078,0.3460379843613892
0.93,0.3677918795091895,0.3464687771249688
0.94,0.36822370846279423,0.347020347670997
0.95,0.3686976670704092,0.3476252360963347
0.96,0.3691400284375165,0.34818933326520235
0.97,0.3697298435936595,0.3489407654881131
0.98,0.37024593185528465,0.34959761646790377
0.99,0.37168887250513455,0.3514309004065148
1.0,0.3731634103954921,0.35329945774376176
1.01,0.37392174416767604,0.35425852333890984
1.02,0.3747116751803676,0.3552561791039244
1.03,0.3755332034335668,0.3562922625202902
1.04,0.37651271788930435,0.3575256301860292
1.05,0.37776607509610827,0.359100711433175
1.06,0.3790194323029122,0.36067233218958583
1.07,0.38089420190636686,0.36301674353925373
1.08,0.3827163094423087,0.36528798619235625
1.09,0.38387487492758965,0.3667284068582094
1.1,0.38511769972089105,0.3682703893301093
1.11,0.3860024224551056,0.3693660661688364
1.12,0.38656064037074095,0.37005653136064043
1.13,0.38720311759439674,0.37085040174492656
1.14,0.38807730791510875,0.3719291880673025
1.15,0.38941492442993314,0.3735767552686813
1.16,0.3904260361261783,0.37481967963498447
1.17,0.3914582126494286,0.37608630655527364
1.18,0.39257464848069934,0.37745385085085803
1.19,0.3940597187845595,0.3792689696420696
1.2,0.39498657117278424,0.3803995232010029
1.21,0.39625046079309073,0.3819383710612113
1.22,0.39721944283532573,0.3831159645966963
1.23,0.3978829848859866,0.3839332596033046
1.24,0.39759860972141764,0.38397399462793075
1.25,0.3974511559323819,0.384121488738964
1.26,0.3974090262783717,0.3843423527241703
1.27,0.399315393122334,0.3869374386126601
1.28,0.3993996524303544,0.38766964128453546
1.29,0.3970193269787772,0.3856914020703982
1.3,0.39512349254831747,0.3841514213909392
1.31,0.3919637684975512,0.3815557942220459
1.32,0.3871399231133814,0.3774869828464335
1.33,0.3845384169782506,0.3753034025351497
1.34,0.38251619358576017,0.37359928055452063
1.35,0.3790931591974301,0.37070299822627395
1.36,0.37793459371214916,0.36978777752940795
1.37,0.37670230133235033,0.36878409069174045
1.38,0.37556480067407444,0.36787197329058074
1.39,0.37445889725630627,0.3670284064315975
1.4,0.3735109800410764,0.36648184769795966
1.41,0.37402706830270155,0.36719691395499476
1.42,0.37480646690189057,0.3681625793055837
1.43,0.37565959239559743,0.36929596153276395
1.44,0.37609142134920215,0.3699524773674336
1.45,0.37616514824372005,0.3702354009072423
1.46,0.377818737163621,0.3722002023631913
1.47,0.37846121438727687,0.37298756322815063
1.48,0.37999894675864976,0.37483753755909355
1.49,0.38017799778819317,0.37541173830496344
1.5,0.3812417715519511,0.37697086814849423
1.51,0.384717468007794,0.3808218467948682
1.52,0.39014166096160935,0.3868219554380291
1.53,0.39670335457370054,0.3940140535666456
1.54,0.3990626151982727,0.39659062737734696
1.55,0.40106377376375796,0.39877270600780707
1.56,0.4039812523039655,0.4019480204855119
1.57,0.4038127336879246,0.402119969220204
1.58,0.40421296540102164,0.40280138312767116
1.59,0.40420243298751907,0.40297272225140873
1.6,0.40538206329980514,0.40438069607071664
1.61,0.4044762757385855,0.4036561421420552
1.62,0.4047817157301596,0.4040929026073017
1.63,0.4046342619411238,0.40415810308863137
1.64,0.4058454894939175,0.4054784783386435
1.65,0.40682500394965504,0.406535228416113
1.66,0.40834167149402284,0.40813504516552546
1.67,0.4098899362788983,0.4097621525172306
1.68,0.4101005845489494,0.4100403958033463
1.69,0.41162778450681975,0.4116161608858466
1.7,0.41656748643951763,0.41656692666549033
1.71,0.41935857601769444,0.41934887908185026
1.72,0.42358207383221863,0.4235385493142769
1.73,0.42916425298857236,0.4290395786282402
1.74,0.4311970087945653,0.43098792515042844
1.75,0.43645268313233976,0.4360372175194903
1.76,0.4384854389383327,0.4378532431038331
1.77,0.44063405129285377,0.4396915654033129
1.78,0.43955974511559326,0.4379936463313363
1.79,0.44224551055874456,0.4400367688517345
1.8,0.44761704144504716,0.44434213294602487
1.81,0.4525251461372373,0.44789691182264074
1.82,0.45989783558902525,0.453665134713407
1.83,0.46644899678761387,0.45914562540471615
1.84,0.4721575649059982,0.46386940005261856
1.85,0.47476960345463165,0.4647300171629358
1.86,0.4804465743325083,0.46813736252586857
1.87,0.4888093106535363,0.4742497088269738
1.88,0.4934751698351677,0.4757019297620394
1.89,0.4919479698772974,0.46795074511613477
1.9,0.48911475064511034,0.45677195294593387
1.91,0.4826057191005319,0.43597041689464616
1.92,0.5125599031017958,0.4475446646743043
1.93,0.5229343304018116,0.446411244906453
1.94,0.5270103744273,0.44103132430424846
1.95,0.5276739164779609,0.4305198505987803
1.96,0.5335826004528937,0.42821919681961057
1.97,0.5424719574490494,0.4207391850881769
1.98,0.5397335299383854,0.4038823525321279
