run_time_sec,event_type,target_id,lane,score,details
1.0955657958984375,target_spawn,1,0,0,
1.9944915771484375,target_spawn,2,3,0,
3.395050048828125,target_spawn,3,4,0,
4.1936492919921875,target_spawn,4,4,0,
4.1936492919921875,target_miss,1,0,0,
5.192901611328125,tracked_catch,2,3,1,
5.4938812255859375,target_spawn,5,5,1,
6.3928070068359375,target_spawn,6,6,1,
6.69378662109375,target_miss,3,4,1,
7.392059326171875,target_miss,4,4,1,
7.8936920166015625,target_spawn,7,3,1,
8.692291259765625,target_spawn,8,2,1,
8.692291259765625,target_miss,5,5,1,
9.394577026367188,target_miss,6,6,1,
9.795883178710938,target_spawn,9,2,1,
10.895462036132812,tracked_catch,7,3,2,
11.292755126953125,target_spawn,10,4,2,
12.292007446289062,target_miss,8,2,2,
12.893966674804688,target_spawn,11,3,2,
12.994293212890625,target_miss,9,2,2,
14.194198608398438,target_spawn,12,2,2,
14.792144775390625,target_miss,10,4,2,
15.594757080078125,target_spawn,13,3,2,
15.992050170898438,tracked_catch,11,3,3,
16.594009399414062,target_spawn,14,3,3,
17.392608642578125,target_spawn,15,5,3,
17.392608642578125,target_miss,12,2,3,
18.295547485351562,target_spawn,16,5,3,
18.692840576171875,tracked_catch,13,3,4,
19.692092895507812,tracked_catch,14,3,5,
19.892745971679688,target_spawn,17,4,5,
20.394378662109375,target_miss,15,5,5,
21.192977905273438,target_spawn,18,3,5,
21.694610595703125,target_miss,16,5,5,
22.794189453125,target_spawn,19,4,5,
22.994842529296875,target_miss,17,4,5,
23.793441772460938,target_spawn,20,0,5,
24.194747924804688,tracked_catch,18,3,6,
24.592041015625,target_spawn,21,2,6,
26.193252563476562,target_spawn,22,5,6,
26.2935791015625,target_miss,19,4,6,
27.292831420898438,target_miss,20,0,6,
27.493484497070312,target_spawn,23,5,6,
28.195770263671875,target_miss,21,2,6,
28.49273681640625,target_spawn,24,4,6,
29.592315673828125,target_miss,22,5,6,
29.993621826171875,target_spawn,25,4,6,
30.792221069335938,target_miss,23,5,6,
30.892547607421875,target_spawn,26,4,6,
31.695159912109375,target_miss,24,4,6,
32.29310607910156,target_spawn,27,1,6,
33.2923583984375,target_miss,25,4,6,
33.79399108886719,target_spawn,28,0,6,
34.094970703125,target_miss,26,4,6,
35.09422302246094,target_spawn,29,2,6,
35.49552917480469,target_miss,27,1,6,
36.59510803222656,target_spawn,30,3,6,
37.09272766113281,target_miss,28,0,6,
37.99566650390625,target_spawn,31,2,6,
37.99566650390625,target_miss,29,2,6,
38.99491882324219,target_spawn,32,1,6,
39.3922119140625,tracked_catch,30,3,7,
40.59211730957031,target_spawn,33,2,7,
41.09375,target_miss,31,2,7,
42.09300231933594,target_spawn,34,0,7,
42.29365539550781,target_miss,32,1,7,
43.092254638671875,target_spawn,35,4,7,
43.493560791015625,target_miss,33,2,7,
44.19584655761719,target_spawn,36,6,7,
45.09477233886719,target_miss,34,0,7,
45.692718505859375,target_spawn,37,3,7,
46.59565734863281,target_miss,35,4,7,
47.193603515625,target_miss,36,6,7,
47.29393005371094,target_spawn,38,6,7,
48.293182373046875,target_spawn,39,4,7,
48.99546813964844,tracked_catch,37,3,8,
49.095794677734375,target_spawn,40,0,8,
50.29570007324219,target_miss,38,6,8,
50.39201354980469,target_spawn,41,3,8,
51.19462585449219,target_miss,39,4,8,
51.99322509765625,target_spawn,42,4,8,
51.99322509765625,target_miss,40,0,8,
53.092803955078125,target_spawn,43,4,8,
53.19313049316406,tracked_catch,41,3,9,
54.49336242675781,target_spawn,44,3,9,
54.9949951171875,target_miss,42,4,9,
55.79359436035156,target_spawn,45,4,9,
56.19490051269531,target_miss,43,4,9,
56.7928466796875,target_spawn,46,3,9,
57.09382629394531,tracked_catch,44,3,10,
57.99275207519531,target_spawn,47,0,10,
59.09233093261719,target_miss,45,4,10,
59.29298400878906,target_spawn,48,0,10,
60.09559631347656,target_spawn,49,5,10,
60.09559631347656,tracked_catch,46,3,11,
61.39582824707031,target_spawn,50,4,11,
61.59246826171875,target_miss,47,0,11,
62.29475402832031,target_miss,48,0,11,
62.39508056640625,target_spawn,51,3,11,
63.19367980957031,target_spawn,52,3,11,
63.39433288574219,target_miss,49,5,11,
