run_time_sec,mode,decoded_state,player_lane,score,hits,misses,active_targets,hold_active,jaw_enabled,hand_enabled
0.0923004150390625,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
0.192626953125,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
0.2929534912109375,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
0.393280029296875,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
0.4936065673828125,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
0.59393310546875,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
0.6942596435546875,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
0.794586181640625,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
0.8949127197265625,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
0.9952392578125,REPLAY,NEUTRAL,3,0,0,0,0,False,False,True
1.0955657958984375,REPLAY,NEUTRAL,3,0,0,0,1,False,False,True
1.195892333984375,REPLAY,NEUTRAL,3,0,0,0,1,False,False,True
1.292205810546875,REPLAY,NEUTRAL,3,0,0,0,1,False,False,True
1.3925323486328125,REPLAY,NEUTRAL,3,0,0,0,1,False,False,True
1.49285888671875,REPLAY,NEUTRAL,3,0,0,0,1,False,False,True
1.5931854248046875,REPLAY,NEUTRAL,3,0,0,0,1,False,False,True
1.693511962890625,REPLAY,NEUTRAL,3,0,0,0,1,False,False,True
1.7938385009765625,REPLAY,NEUTRAL,3,0,0,0,1,False,False,True
1.8941650390625,REPLAY,NEUTRAL,3,0,0,0,1,False,False,True
1.9944915771484375,REPLAY,NEUTRAL,3,0,0,0,2,False,False,True
2.094818115234375,REPLAY,RIGHT,3,0,0,0,2,False,False,True
2.1951446533203125,REPLAY,RIGHT,3,0,0,0,2,False,False,True
2.29547119140625,REPLAY,NEUTRAL,3,0,0,0,2,False,False,True
2.3957977294921875,REPLAY,LEFT,3,0,0,0,2,False,False,True
2.4921112060546875,REPLAY,LEFT,3,0,0,0,2,False,False,True
2.592437744140625,REPLAY,LEFT,3,0,0,0,2,False,False,True
2.6927642822265625,REPLAY,NEUTRAL,3,0,0,0,2,False,False,True
2.7930908203125,REPLAY,NEUTRAL,3,0,0,0,2,False,False,True
2.8934173583984375,REPLAY,NEUTRAL,3,0,0,0,2,False,False,True
2.993743896484375,REPLAY,NEUTRAL,3,0,0,0,2,False,False,True
3.0940704345703125,REPLAY,NEUTRAL,3,0,0,0,2,False,False,True
3.19439697265625,REPLAY,NEUTRAL,3,0,0,0,2,False,False,True
3.2947235107421875,REPLAY,NEUTRAL,3,0,0,0,2,False,False,True
3.395050048828125,REPLAY,NEUTRAL,3,0,0,0,3,False,False,True
3.4953765869140625,REPLAY,NEUTRAL,3,0,0,0,3,False,False,True
