run_time_sec,event_time_sec,event_time_relative_sec,predicted_class,accepted,source,confidence,left_confidence,right_confidence,jaw_confidence,peak_value,peak_prominence,assigned_block_id,assigned_side,inside_marker_block,ground_truth_state,notes
1.8018646240234375,1.8018646240234375,1.8018646240234375,,False,lr_event,0.5291419534072729,0.4708580465927271,0.5291419534072729,,2.299244909055445,2.016823511447356,,,no,REST,direction_confidence_low
15.6669921875,15.6669921875,15.6669921875,LEFT,True,lr_event,0.9994886866990055,0.9994886866990055,0.0005113133009945411,,2.213087678764575,1.9840428064876257,,,no,REST,
27.991104125976562,27.991104125976562,27.991104125976562,LEFT,True,lr_event,1.0,1.0,1.016751824340015e-45,,6.3215935294307375,6.104880956727671,,,no,REST,
50.11912536621094,50.11912536621094,2.32757568359375,LEFT,True,lr_event,0.9999999969003418,0.9999999969003418,3.099658251888457e-09,,1.808914783649182,1.6043116764125913,1,LEFT,yes,LEFT,
54.2886962890625,54.2886962890625,6.4971466064453125,LEFT,True,lr_event,0.7213465912653865,0.7213465912653865,0.2786534087346135,,0.8491734419833565,0.6131646200573564,1,LEFT,yes,LEFT,
55.29597473144531,55.29597473144531,7.504425048828125,LEFT,True,lr_event,0.9999677092762188,0.9999677092762188,3.229072378116827e-05,,0.7539168231273031,0.3981274581695212,1,LEFT,yes,LEFT,
56.79685974121094,56.79685974121094,9.00531005859375,LEFT,True,lr_event,0.9963702802285426,0.9963702802285426,0.003629719771457389,,0.613287183859685,0.37218025945875555,1,LEFT,yes,LEFT,
57.70782470703125,57.70782470703125,9.916275024414062,LEFT,True,lr_event,0.9999403415801268,0.9999403415801268,5.965841987324822e-05,,0.8694318806917387,0.5972509394670606,1,LEFT,yes,LEFT,
60.508941650390625,60.508941650390625,12.717391967773438,LEFT,True,lr_event,0.9999596745273147,0.9999596745273147,4.0325472685244324e-05,,1.6699416338911257,1.459703418563802,1,LEFT,yes,LEFT,
63.109405517578125,63.109405517578125,15.317855834960938,LEFT,True,lr_event,0.8937886776884082,0.8937886776884082,0.10621132231159183,,0.4872911088618277,0.27998863897349346,1,LEFT,yes,LEFT,
64.39358520507812,64.39358520507812,16.602035522460938,LEFT,True,lr_event,0.9834990994244558,0.9834990994244558,0.01650090057554426,,0.5370074842372565,0.33419696054009246,1,LEFT,yes,LEFT,
68.31434631347656,68.31434631347656,,JAW,True,jaw_trigger,0.8617848955491872,0.0,1.0,0.8617848955491872,,,,,,REST,binary_crossing
68.44276428222656,68.44276428222656,68.44276428222656,RIGHT,True,lr_event,1.0,0.0,1.0,,51.10034360817304,50.94432003497973,,,no,REST,
68.71565246582031,68.71565246582031,,JAW,True,jaw_trigger,0.9976582020138921,1.0,0.0,0.9976582020138921,,,,,,REST,binary_crossing
116.41891479492188,116.41891479492188,0.97918701171875,,False,lr_event,0.531420266441918,0.468579733558082,0.531420266441918,,0.3410540882184145,0.08802669563665111,2,LEFT,yes,LEFT,direction_confidence_low
117.77131652832031,117.77131652832031,2.3315887451171875,,False,lr_event,0.5923074626032561,0.5923074626032561,0.407692537396744,,0.8528839327333567,0.6278420442116627,2,LEFT,yes,LEFT,direction_confidence_low
119.31233215332031,119.31233215332031,3.8726043701171875,RIGHT,True,lr_event,0.6242762791909491,0.3757237208090509,0.6242762791909491,,0.5175478038691363,0.27519440612562784,2,LEFT,yes,LEFT,
120.47210693359375,120.47210693359375,5.032379150390625,RIGHT,True,lr_event,0.6641325258258466,0.3358674741741534,0.6641325258258466,,0.49052584002865757,0.11986966617456524,2,LEFT,yes,LEFT,
122.21377563476562,122.21377563476562,6.7740478515625,,False,lr_event,0.5801549664238603,0.5801549664238603,0.4198450335761397,,0.6709028743435265,0.2662293285249805,2,LEFT,yes,LEFT,direction_confidence_low
130.4606170654297,130.4606170654297,0.8226776123046875,,False,lr_event,0.587971239151762,0.587971239151762,0.41202876084823803,,0.4761896748852019,0.2369806146290146,3,RIGHT,yes,RIGHT,direction_confidence_low
131.6725616455078,131.6725616455078,2.0346221923828125,,False,lr_event,0.5292293453086643,0.4707706546913357,0.5292293453086643,,0.6764899256046462,0.3894727002452755,3,RIGHT,yes,RIGHT,direction_confidence_low
133.28982543945312,133.28982543945312,3.651885986328125,RIGHT,True,lr_event,0.9466544575808855,0.05334554241911449,0.9466544575808855,,0.8074551834937435,0.5545825864967815,3,RIGHT,yes,RIGHT,
135.07965087890625,135.07965087890625,5.44171142578125,,False,lr_event,0.5845089038089026,0.41549109619109736,0.5845089038089026,,0.5273362249345783,0.25668246783189713,3,RIGHT,yes,RIGHT,direction_confidence_low
152.496337890625,152.496337890625,1.9302825927734375,LEFT,True,lr_event,0.6339601447654517,0.6339601447654517,0.36603985523454835,,0.8340750785252843,0.5816397143060581,4,LEFT,yes,LEFT,
153.5678253173828,153.5678253173828,3.00177001953125,LEFT,True,lr_event,0.8375620104274029,0.8375620104274029,0.1624379895725971,,0.4619685489348355,0.16369829380226486,4,LEFT,yes,LEFT,
155.2131805419922,155.2131805419922,4.647125244140625,LEFT,True,lr_event,0.6491092697404455,0.6491092697404455,0.35089073025955453,,0.7420174111562926,0.47952759864421984,4,LEFT,yes,LEFT,
156.1883544921875,156.1883544921875,5.6222991943359375,,False,lr_event,0.549442669520315,0.549442669520315,0.45055733047968505,,0.633390130534892,0.3229226153554578,4,LEFT,yes,LEFT,direction_confidence_low
157.0230712890625,157.0230712890625,6.4570159912109375,RIGHT,True,lr_event,0.6666983841582322,0.33330161584176776,0.6666983841582322,,0.857943241204649,0.6626076234109104,4,LEFT,yes,LEFT,
