mode,method,average_uv_clip_fraction_mean,normalized_low_fraction_mean,normalized_high_fraction_mean,normalized_mid_fraction_mean,median_threshold_gap_uv,jleft_mean_x_smooth,jright_mean_x_smooth,cohens_d_x_smooth,empirical_overlap_x_smooth,roc_auc_x_smooth,expected_direction_order,direction_threshold,direction_macro_f1,direction_accuracy_all,direction_coverage,activation_threshold,activation_macro_f1,activation_accuracy,jaws_mean_total_activation,norm_mean_total_activation,jaws_total_vs_norm_ratio,jaws_mean_abs_direction,lateral_mean_abs_direction,jaws_abs_direction_vs_lateral_ratio,jaws_center_score
raw,mean,0.9999947338487141,5.266151285994144e-06,0.9999947338487141,0.0,190.35444832328716,0.0,0.0,0.0,1.0,0.5,False,0.0,0.0,0.0,0.0,2.0,0.40603690960275257,0.6836062983832746,2.0,2.0,1.0,0.0,0.0,0.0,1.0
raw,max,0.9999947338487141,5.266151285994144e-06,0.9999947338487141,0.0,190.35444832328716,0.0,0.0,0.0,1.0,0.5,False,0.0,0.0,0.0,0.0,2.0,0.40603690960275257,0.6836062983832746,2.0,2.0,1.0,0.0,0.0,0.0,1.0
centered,mean,0.912853095443726,5.266151285994144e-06,0.9786931518968678,0.02130158195184631,189.7404174516565,0.0004557593388439477,0.00012920178194606707,-0.39211332820041267,0.8778757387245509,0.4691988902081886,False,0.0,0.3331299097459096,0.2673657927590512,0.5808239700374532,2.0,0.40605786972621655,0.6835747011427669,1.9817958867116718,1.9944384096285035,0.9936611113906563,0.0047438828949265995,0.0003052429964435235,4.7438828949266,-3.7502217835359435
centered,max,0.912853095443726,5.266151285994144e-06,0.9786931518968678,0.02130158195184631,189.7404174516565,3.15321360457505e-159,0.0,-0.06165185970503514,0.9956061513880567,0.40005992409747326,False,0.0,0.2679165395294529,0.20004993757802747,0.5000249687890137,2.0,0.4060513950245103,0.6833745852862183,1.9898006447555467,1.9974846223982956,0.9961531730674738,0.003520251385901331,1.5768429980631487e-159,3.520251385901331,-2.524098212833857
scaled,mean,0.0,0.08237050533987741,0.44094537947886164,0.47668411518126097,47.632703046452534,0.009585302601546527,-0.014496708360374425,-0.6307527757373139,0.538253756697471,0.3734912267566193,False,0.0,0.44062264067149265,0.4408988764044944,1.0,1.88,0.4757019297620394,0.4934751698351677,1.4913451386931875,1.6082981297008356,0.9272815227178043,0.02707179093685678,0.028603684196410774,0.9464441975713669,-0.0191626748535626
scaled,max,0.0,0.08237050533987741,0.44094537947886164,0.47668411518126097,47.632703046452534,-0.014465472461177475,-0.05389914210085598,-0.9228540346035174,0.4612072017365679,0.26213855990685064,False,0.0,0.30149049483556806,0.35545568039950065,1.0,1.95,0.5054726237753199,0.5498130496603296,1.542214751459027,1.6829919219602656,0.9163530325580718,0.018430439800110724,0.039007606543358594,0.4724832265631196,0.4438698059949522
filtered,mean,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.5,False,0.0,0.0,0.0,0.0,0.0,0.40603690960275257,0.6836062983832746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filtered,max,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.5,False,0.0,0.0,0.0,0.0,0.0,0.40603690960275257,0.6836062983832746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
