mode,method,label,left_aggregate_mean,left_aggregate_std,right_aggregate_mean,right_aggregate_std,x_raw_mean,x_raw_std,x_smooth_mean,x_smooth_std,total_activation_mean,total_activation_std,abs_direction_mean,abs_direction_std
raw,mean,Jaws,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
raw,mean,Jleft,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
raw,mean,Jright,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
raw,mean,norm,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
raw,max,Jaws,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
raw,max,Jleft,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
raw,max,Jright,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
raw,max,norm,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
centered,mean,Jaws,0.9910183907394741,0.01932146438780722,0.990777495972198,0.0225970626613088,-0.0002408947672760454,0.01354698397611391,-0.0002745171080318017,0.012601108891772555,1.9817958867116718,0.03980416660561752,0.0047438828949265995,0.011677184603031908
centered,mean,Jleft,0.9995396260911416,0.0011102951863174637,0.9999960441563543,1.8430854387292955e-05,0.00045641806521268485,0.0011002837616647888,0.0004557593388439477,0.0010921080076350868,1.9995356702474958,0.0011205203425741184,0.0004557593388439477,0.0010921080076350868
centered,mean,Jright,0.9996654389874766,0.0010259882368648591,0.9997950748285866,0.0008635017692064397,0.00012963584111020884,0.00045152662110209136,0.00012920178194606707,0.00044080559709074995,1.9994605138160633,0.0018419278068506119,0.00015468154875619496,0.00043252233555442557
