threshold,accuracy,macro_f1
0.0,0.3316762336089315,0.2836532830940933
0.01,0.3350255411027437,0.28855729002957453
0.02,0.3353520459213229,0.2890334737564942
0.03,0.33565748591289696,0.28947863548120456
0.04,0.3359418610774659,0.2898928356680621
0.05,0.33632102796355784,0.2904447120760594
0.06,0.33665806519563957,0.29093489479575185
0.07,0.33703723208173153,0.2914859302197837
0.08,0.3373426720733056,0.29192949686661035
0.09,0.33785876033493073,0.2926783178500944
0.1,0.3384275106640687,0.2935025998849686
0.11,0.33889093685818106,0.2941735029401832
0.12,0.33918584443625255,0.2946000987089519
0.13,0.3394912844278266,0.29504164964086194
0.14,0.33978619200589816,0.2954677043219929
0.15,0.3401969561324978,0.2960606956865434
0.16,0.34058665543209227,0.2966228024436185
0.17,0.3409131602506714,0.2970934014465157
0.18,0.3411764705882353,0.29747268115597897
0.19,0.34149244299331194,0.2979275395061504
0.2,0.3418821422929064,0.2984881154706984
0.21,0.34240876296803413,0.2992449219735306
0.22,0.342977513297172,0.3000613345246355
0.23,0.3433145505292538,0.30054467569352444
0.24,0.3436305229343304,0.30099749849254775
0.25,0.3437779767233662,0.30120871340886085
0.26,0.34410448154194534,0.30167617199018926
0.27,0.3442940649849913,0.30194745327854755
0.28,0.34454684290905263,0.30230899468998595
0.29,0.34478908841961137,0.3026552929998165
0.3,0.34507346358418034,0.30306159398302185
0.31,0.3453262415082416,0.3034225483606997
0.32,0.34561061667281057,0.30382839501540765
0.33,0.34605297803991786,0.30445923497473043
0.34,0.3463689504449945,0.3049094799455606
0.35,0.34687450629311706,0.3056292577646649
0.36,0.3471799462846911,0.30606375788445667
0.37,0.3475801779977882,0.3066326867490986
0.38,0.3478750855758597,0.30705159591917514
0.39,0.3481594607404287,0.3074553020786337
0.4,0.34841223866448995,0.3078139528130903
0.41,0.3487492758965717,0.3082918625681065
0.42,0.34902311864763813,0.3086799194999954
0.43,0.3493180262257096,0.30909758191455894
0.44,0.3495181420822582,0.30938085113852126
0.45,0.34974985517931434,0.30970870123141825
0.46,0.3499605034493654,0.31000661107953903
0.47,0.3502132813734267,0.31036393249728683
0.48,0.35047659171099055,0.31073594485845185
0.49,0.35072936963505186,0.31109288739880553
0.5,0.35108747169413873,0.31159823894956057
0.51,0.3514139765127179,0.3120586771642171
0.52,0.35169835167728686,0.31245945296202926
0.53,0.35190899994733793,0.312756173429462
0.54,0.3522881668334299,0.3132899479442386
0.55,0.3524672178629733,0.3135418642467802
0.56,0.35279372268155246,0.3140010037319052
0.57,0.353088630259624,0.3144154472324863
0.58,0.3535731212807415,0.31509577743106654
0.59,0.35411027436937176,0.3158492715416339
0.6,0.35448944125546367,0.3163806538030972
0.61,0.35541629364368843,0.3176778652691689
0.62,0.35582705777028806,0.3182519858178882
0.63,0.35665911843698983,0.31941348484860904
0.64,0.35755437358470693,0.32066101828136495
0.65,0.35834430459739847,0.32175991311449154
