sample_index,time_sec,label_clean,ch1_raw_value,ch1_centered_value,ch1_scaled_value,ch1_filtered_value,raw_ch1_average_uv,raw_ch1_lower_threshold,raw_ch1_upper_threshold,raw_ch1_output_normalized,centered_ch1_average_uv,centered_ch1_lower_threshold,centered_ch1_upper_threshold,centered_ch1_output_normalized,scaled_ch1_average_uv,scaled_ch1_lower_threshold,scaled_ch1_upper_threshold,scaled_ch1_output_normalized,filtered_ch1_average_uv,filtered_ch1_lower_threshold,filtered_ch1_upper_threshold,filtered_ch1_output_normalized
2846,11.384,Jaws,-81955.21914425126,-3994.3237893967453,-89.27313669301725,-0.25567081489523263,200.0,6.173275742754145,200.0,1.0,200.0,6.173275742754145,200.0,1.0,87.79333565155696,6.173275742754145,91.10125598326401,0.9610502884639519,1.1007942175482177,6.0,16.0,0.0
2847,11.388,Jaws,-82007.36576406549,-4046.470409210975,-90.43861364586529,-1.0140415996959953,200.0,6.173337476128906,200.0,1.0,200.0,6.173337476128906,200.0,1.0,87.7914892722952,6.173337476128906,91.10125598326401,0.9610285196064148,1.1000313120633598,6.0,16.0,0.0
2848,11.392,Jaws,-81931.45923989525,-3970.5638850407413,-88.74210283066056,-1.3185345245593818,200.0,6.173399210121008,200.0,1.0,200.0,6.173399210121008,200.0,1.0,87.79312783397772,6.173399210121008,91.10125598326401,0.9610477848496416,1.1005245227719516,6.0,16.0,0.0
2849,11.396,Jaws,-81739.36834804635,-3778.472993191841,-84.44887139783764,0.8996793214927719,200.0,6.173460944730454,200.0,1.0,200.0,6.173460944730454,200.0,1.0,87.78398785698275,6.173460944730454,91.10125598326401,0.9609401359734331,1.104101025516049,6.0,16.0,0.0
2850,11.4,Jaws,-81805.5071598896,-3844.6118050350924,-85.92707384253431,1.8481882237133138,200.0,6.173522679957253,200.0,1.0,200.0,6.173522679957253,200.0,1.0,87.77518158706212,6.173522679957253,91.10125598326401,0.960836416246701,1.1051411701344391,6.0,16.0,0.0
2851,11.404,Jaws,-82041.1616016819,-4080.266246827392,-91.1939506165922,-1.4086125432719818,200.0,6.173584415801411,200.0,1.0,200.0,6.173584415801411,200.0,1.0,87.78797435766155,6.173584415801411,91.10125598326401,0.9609870191369777,1.1049651108497132,6.0,16.0,0.0
2852,11.408,Jaws,-81933.31443468505,-3972.4190798305353,-88.78356643421246,-1.4407599183523216,200.0,6.173646152262934,200.0,1.0,200.0,6.173646152262934,200.0,1.0,87.80102090549723,6.173646152262934,91.10125598326401,0.9611406104053325,1.1023080951654998,6.0,16.0,0.0
2853,11.412,Jaws,-81712.76977214453,-3751.8744172900188,-83.85439322643191,1.8345235531674222,200.0,6.173707889341827,200.0,1.0,200.0,6.173707889341827,200.0,1.0,87.79565561510992,6.173707889341827,91.10125598326401,0.9610774072448389,1.1090255982641362,6.0,16.0,0.0
2854,11.416,Jaws,-81789.05627597049,-3828.160921115981,-85.55939658694217,1.1663347057049465,200.0,6.173769627038097,200.0,1.0,200.0,6.173769627038097,200.0,1.0,87.76898902284972,6.173769627038097,91.10125598326401,0.9607633864678723,1.104469900778748,6.0,16.0,0.0
2855,11.42,Jaws,-81959.80125186458,-3998.905897010074,-89.37554679817515,0.8309969990252812,200.0,6.1738313653517505,200.0,1.0,200.0,6.1738313653517505,200.0,1.0,87.76685889266243,6.1738313653517505,91.10125598326401,0.9607382761740038,1.1056121157431094,6.0,16.0,0.0
