mode,run_time_sec,wall_time_utc,prompt_id,target_class,ground_truth_state,left_confidence,right_confidence,jaw_confidence,direction_prediction,direction_margin,direction_agreed
REPLAY,0.9950027465820312,,,,REST,0.8604802271334993,0.13951977286650075,0.3162364181392221,LEFT,0.7209604542669985,True
REPLAY,1.0953054428100586,,,,REST,0.9101186908885531,0.08988130911144686,0.2863001222861531,LEFT,0.8202373817771063,True
REPLAY,1.195608139038086,,,,REST,0.911328733954014,0.088671266045986,0.3004500435017585,LEFT,0.8226574679080281,True
REPLAY,1.2959108352661133,,,,REST,0.8967111406204169,0.10328885937958315,0.30625765071628874,LEFT,0.7934222812408338,True
REPLAY,1.3962135314941406,,,,REST,0.9010076037558228,0.09899239624417722,0.3008252820331254,LEFT,0.8020152075116456,True
REPLAY,1.496516227722168,,,,REST,0.8376395084726818,0.16236049152731827,0.32020573129955066,LEFT,0.6752790169453635,True
REPLAY,1.5968189239501953,,,,REST,0.7937512659748412,0.20624873402515878,0.3108422612829431,LEFT,0.5875025319496825,True
REPLAY,1.6971216201782227,,,,REST,0.7895335121865429,0.21046648781345714,0.30585536105464717,LEFT,0.5790670243730858,True
REPLAY,1.79742431640625,,,,REST,0.8099682687017482,0.19003173129825185,0.30338300107044913,LEFT,0.6199365374034964,True
REPLAY,1.8977270126342773,,,,REST,0.8427823419260951,0.1572176580739048,0.3000396723625338,LEFT,0.6855646838521903,True
REPLAY,1.9980297088623047,,,,REST,0.7559828649272943,0.24401713507270573,0.32860306880179724,LEFT,0.5119657298545885,True
REPLAY,2.098332405090332,,,,REST,0.6944342622741297,0.3055657377258703,0.3139974028912448,LEFT,0.38886852454825943,True
REPLAY,2.1986351013183594,,,,REST,0.6577640217707121,0.34223597822928786,0.29798613577120003,LEFT,0.3155280435414243,True
REPLAY,2.2989377975463867,,,,REST,0.6310191488547312,0.3689808511452688,0.30486475085469744,LEFT,0.2620382977094624,True
REPLAY,2.399240493774414,,,,REST,0.6642581166813901,0.33574188331860993,0.3040876025301461,LEFT,0.3285162333627802,True
REPLAY,2.4995431900024414,,,,REST,0.7192652866819522,0.28073471331804783,0.2988911248992857,LEFT,0.4385305733639044,True
REPLAY,2.5998458862304688,,,,REST,0.7411429458102428,0.25885705418975724,0.2980100754575752,LEFT,0.4822858916204855,True
REPLAY,2.700148582458496,,,,REST,0.7333681623168521,0.2666318376831479,0.30348697914086453,LEFT,0.4667363246337042,True
