run_time_sec,mode,decoded_state,score,hits,misses,pending_notes,jaw_hold_active,jaw_enabled,hand_enabled,game_completed
8.194671630859375,REPLAY,NEUTRAL,0,0,3,33,False,True,False,False
8.294998168945312,REPLAY,NEUTRAL,0,0,3,33,False,True,False,False
8.39532470703125,REPLAY,NEUTRAL,0,0,3,33,False,True,False,False
8.495651245117188,REPLAY,NEUTRAL,0,0,3,33,False,True,False,False
8.595977783203125,REPLAY,NEUTRAL,0,0,3,33,False,True,False,False
8.692291259765625,REPLAY,NEUTRAL,0,0,3,33,False,True,False,False
8.792617797851562,REPLAY,NEUTRAL,0,0,3,33,False,True,False,False
8.8929443359375,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
8.993270874023438,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.093597412109375,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.193923950195312,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.29425048828125,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.394577026367188,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.494903564453125,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.595230102539062,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.695556640625,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.795883178710938,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.892196655273438,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
9.992523193359375,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.092849731445312,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.19317626953125,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.293502807617188,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.393829345703125,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.494155883789062,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.594482421875,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.694808959960938,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.795135498046875,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.895462036132812,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
10.99578857421875,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.09210205078125,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.192428588867188,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.292755126953125,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.393081665039062,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.493408203125,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.593734741210938,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.694061279296875,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.794387817382812,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.89471435546875,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
11.995040893554688,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
12.095367431640625,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
12.195693969726562,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
12.292007446289062,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
12.392333984375,REPLAY,NEUTRAL,0,0,4,32,False,True,False,False
12.492660522460938,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
12.592987060546875,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
12.693313598632812,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
12.79364013671875,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
12.893966674804688,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
12.994293212890625,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.094619750976562,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.1949462890625,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.295272827148438,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.395599365234375,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.495925903320312,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.592239379882812,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.69256591796875,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.792892456054688,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.893218994140625,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
13.993545532226562,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
14.0938720703125,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
14.194198608398438,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
14.294525146484375,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
14.394851684570312,REPLAY,NEUTRAL,0,0,5,31,False,True,False,False
