sample_index,run_time_sec,Channel_1,Channel_3,Channel_4,Channel_6,Channel_7,Channel_8
59,0.23670029640197754,-3738.70924,-20057.360239,-19713.188078,-56359.923644,-43892.433511,-35401.765752
60,0.24071216583251953,-3740.005641,-20045.402055,-19717.121985,-56349.463028,-43880.095348,-35382.275031
61,0.24472403526306155,-3731.266109,-20009.996892,-19690.03167,-56324.473777,-43876.720235,-35374.071941
62,0.24873590469360354,-3733.993022,-19994.618892,-19676.06183,-56323.065617,-43867.354854,-35363.030179
63,0.2527477741241455,-3749.683946,-19983.174799,-19675.92772,-56319.332876,-43871.91461,-35367.209955
64,0.2567596435546875,-3768.146487,-19982.504247,-19681.292138,-56336.007277,-43888.968991,-35388.399409
65,0.2607715129852295,-3783.278618,-19970.344898,-19691.909217,-56333.012144,-43894.691037,-35393.92029
66,0.2647833824157715,-3783.546839,-19967.081543,-19667.836388,-56332.676868,-43906.090427,-35407.107819
67,0.2687952518463135,-3775.589618,-19972.669479,-19676.039478,-56333.414475,-43875.960276,-35393.495607
68,0.27280712127685547,-3757.685871,-19966.768618,-19697.094822,-56336.096684,-43841.896217,-35383.705543
69,0.27681899070739746,-3765.24076,-19955.726857,-19698.234761,-56345.216196,-43843.326729,-35386.074827
70,0.28083086013793945,-3783.412729,-19950.228328,-19673.491379,-56385.024653,-43855.307264,-35401.341069
71,0.28484272956848145,-3785.916124,-19942.964011,-19655.81115,-56386.879848,-43852.870924,-35399.731743
72,0.28885459899902344,-3786.519621,-19935.789101,-19676.397106,-56389.562057,-43846.187752,-35387.684153
73,0.29286646842956543,-3774.628493,-19926.848403,-19672.306737,-56394.680607,-43858.123584,-35399.888206
74,0.2968783378601074,-3778.830621,-19917.751243,-19664.125999,-56399.575639,-43858.212991,-35400.379944
75,0.3008902072906494,-3781.289313,-19915.896048,-19655.878205,-56404.940057,-43849.294645,-35393.629717
76,0.3049020767211914,-3789.090072,-19908.251751,-19652.346629,-56405.990589,-43844.980758,-35393.92029
77,0.3089139461517334,-3777.288351,-19901.635635,-19638.466196,-56401.631999,-43841.449182,-35390.992211
78,0.3129258155822754,-3766.157182,-19899.355757,-19619.087233,-56403.576601,-43840.733926,-35391.036915
79,0.3169376850128174,-3771.342787,-19893.521952,-19606.413794,-56402.637828,-43845.65131,-35396.826017
80,0.3209495544433594,-3804.356313,-19899.936903,-19607.531382,-56409.723331,-43858.391805,-35407.331336
81,0.32496142387390137,-3818.504968,-19902.686167,-19585.917245,-56410.706807,-43880.095348,-35437.550895
82,0.32897329330444336,-3813.699342,-19902.46265,-19555.608279,-56414.484252,-43894.601631,-35447.787994
83,0.33298516273498535,-3803.350485,-19904.407251,-19547.896927,-56407.510508,-43888.991343,-35436.925046
84,0.33699703216552734,-3799.05895,-19923.830917,-19564.258404,-56413.657238,-43880.832956,-35439.629607
85,0.34100890159606934,-3787.637208,-19932.369284,-19577.378878,-56421.435645,-43865.164383,-35436.20979
86,0.34502077102661133,-3766.64892,-19936.660819,-19577.311823,-56415.490081,-43868.114813,-35443.630569
87,0.3490326404571533,-3759.026976,-19952.262336,-19567.812332,-56423.80493,-43885.459767,-35459.075625
88,0.3530445098876953,-3755.674214,-19964.376982,-19583.615015,-56419.71456,-43873.859212,-35446.826869
89,0.3570563793182373,-3741.816132,-19976.40222,-19616.22621,-56414.685418,-43867.533668,-35438.757889
90,0.3610682487487793,-3719.062056,-19969.204959,-19616.382672,-56412.874927,-43876.742587,-35442.647093
91,0.3650801181793213,-3704.868699,-19966.053363,-19606.99494,-56414.372494,-43873.926267,-35442.065947
92,0.3690919876098633,-3714.88228,-19974.837598,-19622.797623,-56408.784557,-43864.583238,-35426.889113
93,0.3731038570404053,-3730.193225,-19979.665575,-19649.463254,-56404.984761,-43865.11968,-35425.480953
94,0.37711572647094727,-3736.898749,-19977.855084,-19648.412722,-56419.513395,-43877.055511,-35437.61795
95,0.38112759590148926,-3729.74619,-19977.855084,-19623.356417,-56424.45313,-43882.218764,-35439.450793
96,0.38513946533203125,-3751.226217,-19982.101915,-19626.887992,-56426.285973,-43883.001075,-35436.410956
97,0.38915133476257324,-3791.50406,-19982.951281,-19642.198937,-56423.268488,-43893.327581,-35439.294331
98,0.39316320419311523,-3812.112369,-19982.68306,-19660.572071,-56415.22186,-43892.433511,-35427.202037
99,0.3971750736236572,-3799.729502,-19971.261319,-19662.024935,-56405.320037,-43891.159462,-35418.663671
100,0.4011869430541992,-3802.836395,-19963.549967,-19660.057981,-56395.284104,-43899.049628,-35421.569398
101,0.4051988124847412,-3816.403904,-19966.232177,-19660.102685,-56403.241325,-43911.588956,-35429.839543
102,0.4092106819152832,-3817.76736,-19971.931871,-19666.092952,-56404.291857,-43919.255605,-35429.54897
103,0.4132225513458252,-3816.381552,-19979.352651,-19666.651746,-56392.736005,-43913.265337,-35415.109743
104,0.4172344207763672,-3836.967508,-19982.213674,-19666.115304,-56382.498906,-43887.471424,-35393.517958
105,0.4212462902069092,-3867.23177,-19987.019299,-19651.810187,-56388.131546,-43884.34218,-35389.785217
106,0.42525815963745117,-3891.528117,-20004.386604,-19653.441865,-56396.558153,-43893.707561,-35395.283746
107,0.42927002906799316,-3888.845907,-20019.585791,-19650.334972,-56398.726272,-43900.882471,-35398.234176
108,0.43328189849853516,-3884.800242,-20025.643113,-19647.898632,-56395.552325,-43902.581203,-35400.938738
109,0.43729376792907715,-3890.92462,-20042.161052,-19649.172681,-56410.706807,-43920.686116,-35423.670462
110,0.44130563735961914,-3912.941088,-20063.126989,-19676.821789,-56419.96043,-43925.759962,-35433.907561
111,0.44531750679016113,-3911.532928,-20065.272756,-19690.478705,-56405.856479,-43904.525805,-35414.081563
112,0.4493293762207031,-3897.116053,-20047.078436,-19680.196903,-56390.634941,-43891.986476,-35404.649127
113,0.4533412456512451,-3908.895422,-20055.303878,-19683.706127,-56396.491098,-43894.199299,-35407.778371
114,0.4573531150817871,-3908.470739,-20058.500178,-19697.363043,-56401.117909,-43900.860119,-35413.925101
115,0.4613649845123291,-3901.675809,-20058.902509,-19708.918894,-56412.941982,-43909.376134,-35417.389621
116,0.4653768539428711,-3887.683617,-20049.604183,-19709.455336,-56408.002246,-43910.203148,-35421.412935
117,0.4693887233734131,-3882.47566,-20040.954058,-19717.792537,-56406.7729,-43908.906747,-35419.133057
118,0.4734005928039551,-3878.787622,-20029.174689,-19717.412557,-56402.883697,-43909.622003,-35429.616026
119,0.47741246223449707,-3878.809974,-20026.134852,-19727.202621,-56402.257848,-43897.864985,-35433.952264
120,0.48142433166503906,-3858.425183,-20014.266075,-19721.212354,-56403.442491,-43891.986476,-35439.339034
121,0.48543620109558105,-3859.967453,-20019.652846,-19716.898467,-56412.606706,-43908.929099,-35461.891945
122,0.4894480705261231,-3884.084986,-20037.489538,-19749.464959,-56425.391904,-43907.252718,-35469.111558
123,0.4934599399566651,-3875.770137,-20033.488576,-19755.432875,-56426.442436,-43897.216785,-35463.143642
124,0.4974718093872071,-3860.05686,-20027.408901,-19727.672008,-56420.742741,-43894.959258,-35458.673293
125,0.501483678817749,-3869.601055,-20039.836471,-19727.247325,-56425.3472,-43895.473349,-35459.723825
126,0.505495548248291,-3878.921733,-20040.59643,-19736.746816,-56424.296668,-43895.629811,-35456.773395
127,0.509507417678833,-3891.148137,-20049.782997,-19734.824566,-56432.209186,-43899.988401,-35461.06493
128,0.513519287109375,-3881.648646,-20053.761608,-19735.450415,-56433.371476,-43897.775578,-35457.376892
129,0.517531156539917,-3862.984939,-20056.197948,-19717.613723,-56431.717447,-43908.794988,-35469.513889
130,0.521543025970459,-3883.593247,-20070.480713,-19726.509717,-56437.26068,-43913.935889,-35472.397265
131,0.525554895401001,-3894.813823,-20061.070628,-19736.232726,-56428.722313,-43902.782369,-35459.299142
132,0.529566764831543,-3881.715701,-20051.794654,-19726.375607,-56414.819528,-43894.154596,-35453.75591
133,0.533578634262085,-3874.853715,-20058.924861,-19702.772165,-56425.503662,-43907.990325,-35471.302029
134,0.537590503692627,-3879.480526,-20066.546806,-19722.486403,-56429.951659,-43900.189567,-35472.933706
135,0.541602373123169,-3890.812861,-20076.806256,-19730.26481,-56433.751456,-43912.863006,-35488.334058
136,0.5456142425537109,-3898.859489,-20071.620652,-19736.299781,-56428.67761,-43916.349878,-35492.379724
137,0.5496261119842529,-3894.031512,-20066.077419,-19739.473729,-56434.220843,-43909.309078,-35497.140646
138,0.5536379814147949,-3901.586402,-20067.396172,-19743.273526,-56434.645526,-43913.600613,-35501.745105
139,0.5576498508453369,-3916.495015,-20071.263024,-19752.504796,-56442.759209,-43925.022355,-35514.060916
140,0.5616617202758789,-3930.26369,-20075.353393,-19754.851729,-56450.58232,-43934.343032,-35520.297053
141,0.5656735897064209,-3949.910873,-20081.72364,-19749.129683,-56446.73782,-43945.451849,-35525.437954
142,0.5696854591369629,-3981.605647,-20093.12303,-19756.751628,-56446.201378,-43948.804611,-35524.677995
143,0.5736973285675049,-4011.355819,-20095.961701,-19789.698099,-56435.830168,-43934.745364,-35509.121181
144,0.5777091979980469,-3998.324752,-20080.740163,-19773.403677,-56433.0362,-43934.544198,-35509.814085
145,0.5817210674285889,-4004.359723,-20083.914111,-19764.440628,-56444.770866,-43932.286672,-35505.835474
146,0.5857329368591309,-4019.491854,-20087.758611,-19776.063535,-56447.520131,-43929.582111,-35503.779114
147,0.5897448062896729,-4039.653127,-20095.380556,-19785.674785,-56454.04684,-43941.428535,-35513.72564
148,0.5937566757202148,-4054.025299,-20107.651664,-19801.857448,-56462.898131,-43942.926102,-35517.368974
149,0.5977685451507568,-4052.751249,-20106.690539,-19795.598959,-56459.925349,-43936.287634,-35519.179466
150,0.6017804145812988,-4058.048613,-20098.822725,-19783.953701,-56445.240253,-43922.78718,-35510.350527
151,0.6057922840118408,-4073.717186,-20102.130783,-19790.547465,-56450.135285,-43925.782314,-35518.195989
152,0.6098041534423828,-4086.725901,-20105.327082,-19790.167485,-56455.07502,-43931.817285,-35523.940387
153,0.6138160228729248,-4071.794936,-20094.642948,-19764.775904,-56455.566759,-43928.598634,-35519.850018
154,0.6178278923034668,-4063.323625,-20079.399059,-19738.981991,-56456.125552,-43921.870759,-35511.490466
155,0.6218397617340088,-4081.808517,-20076.314518,-19727.672008,-56452.50457,-43917.959203,-35502.415657
156,0.6258516311645508,-4097.275924,-20079.197893,-19731.829432,-56444.547349,-43910.806645,-35493.363201
157,0.6298635005950928,-4082.47907,-20076.560387,-19717.725482,-56453.510398,-43920.194378,-35507.511855
158,0.6338753700256348,-4078.656921,-20078.862617,-19691.909217,-56460.595901,-43930.85616,-35518.687727
159,0.6378872394561768,-4082.680235,-20084.562312,-19673.178455,-56468.866047,-43932.890169,-35520.185294
160,0.6418991088867188,-4088.961075,-20091.133725,-19686.164819,-56470.430669,-43932.912521,-35516.363146
161,0.6459109783172607,-4069.448003,-20080.404887,-19678.855798,-56452.705735,-43934.901826,-35516.698422
162,0.6499228477478027,-4051.052517,-20070.279547,-19661.846121,-56441.775732,-43920.708468,-35500.046372
163,0.6539347171783447,-4034.422819,-20056.063838,-19646.155196,-56436.344258,-43906.448055,-35490.79275
164,0.6579465866088867,-4025.057438,-20061.115332,-19641.483681,-56445.888453,-43920.619061,-35512.652756
165,0.6619584560394287,-4018.173101,-20074.124047,-19647.898632,-56451.23052,-43933.359555,-35525.817934
166,0.6659703254699707,-4015.133263,-20073.229977,-19655.364115,-56437.886529,-43928.263358,-35514.284434
167,0.6699821949005127,-4021.727028,-20069.16196,-19660.68383,-56440.367572,-43939.05925,-35519.067707
168,0.6739940643310547,-4031.74061,-20072.11239,-19694.479667,-56437.819473,-43938.187532,-35512.093963
169,0.6780059337615967,-4027.51613,-20064.266928,-19700.469935,-56429.459921,-43934.275977,-35510.194064
170,0.6820178031921387,-4039.541368,-20067.060896,-19670.384487,-56446.782523,-43965.479012,-35537.619655
171,0.6860296726226807,-4068.464526,-20075.82278,-19677.738211,-56452.817494,-43968.541201,-35534.646873
172,0.6900415420532227,-4070.766755,-20071.710059,-19679.660461,-56443.072133,-43962.394471,-35529.282454
173,0.6940534114837646,-4063.793011,-20073.855826,-19675.815961,-56440.188758,-43961.09807,-35527.56137
174,0.6980652809143066,-4071.191439,-20078.147361,-19673.290214,-56449.084753,-43967.960056,-35534.401004
175,0.7020771503448486,-4079.685101,-20081.902454,-19678.811095,-56457.086677,-43969.614085,-35535.496239
176,0.7060890197753906,-4077.114651,-20093.145382,-19692.423307,-56471.123573,-43978.755948,-35542.917018
177,0.7101008892059326,-4065.938779,-20098.330986,-19716.987874,-56473.358747,-43977.772472,-35546.78387
178,0.7141127586364746,-4049.17497,-20088.607977,-19707.376624,-56460.528846,-43973.39153,-35546.292132
179,0.7181246280670166,-4036.456828,-20080.583701,-19684.711955,-56451.029354,-43977.660713,-35543.051129
180,0.7221364974975586,-4041.396563,-20081.947158,-19701.855743,-56449.487084,-43967.825945,-35529.684786
181,0.7261483669281006,-4034.646336,-20083.623538,-19725.123909,-56441.909843,-43958.549971,-35526.510838
182,0.7301602363586426,-4012.383999,-20076.158056,-19729.795424,-56424.609593,-43952.76087,-35527.963701
183,0.7341721057891846,-3998.190641,-20076.783905,-19726.107386,-56429.862252,-43958.795841,-35534.333948
184,0.7381839752197266,-4007.39956,-20082.349489,-19730.26481,-56436.992459,-43962.997969,-35537.753765
185,0.7421958446502686,-4027.13615,-20085.746954,-19738.289087,-56445.553177,-43966.708358,-35542.581742
186,0.7462077140808105,-4030.623022,-20087.557445,-19744.905203,-56448.235386,-43961.276884,-35539.430146
187,0.7502195835113525,-4025.370362,-20084.718774,-19730.845956,-56457.578416,-43976.297257,-35550.695425
188,0.7542314529418945,-4040.681307,-20088.00448,-19750.716657,-56461.668785,-43968.228277,-35540.704196
189,0.7582433223724365,-4041.731839,-20080.293129,-19761.870177,-56454.829151,-43960.136945,-35535.742108
190,0.7622551918029785,-4046.783334,-20083.020041,-19761.914881,-56459.634776,-43965.791937,-35540.368919
191,0.7662670612335205,-4039.273147,-20076.649794,-19744.413465,-56351.184112,-43966.708358,-35543.051129
192,0.7702789306640625,-4057.892151,-20082.61771,-19742.17829,-56253.283471,-43965.814288,-35540.771251
193,0.7742908000946045,-4069.179782,-20088.183294,-19750.694305,-56234.284488,-43966.082509,-35536.904399
194,0.7783026695251465,-4060.797877,-20086.641024,-19753.644735,-56221.208718,-43967.982408,-35543.140536
195,0.7823145389556885,-4046.716278,-20080.136666,-19746.223956,-56200.645113,-43958.549971,-35537.664358
196,0.7863264083862305,-4054.829962,-20078.594396,-19752.482444,-56182.137869,-43956.560666,-35537.910228
197,0.7903382778167725,-4062.809534,-20081.611881,-19761.803122,-56187.390529,-43968.049463,-35549.309617
198,0.7943501472473145,-4063.90477,-20088.272701,-19772.621366,-56192.352616,-43962.394471,-35541.352396
199,0.7983620166778564,-4059.523828,-20086.238693,-19762.876006,-56182.115517,-43950.369233,-35531.428222
200,0.8023738861083984,-4077.382872,-20094.173562,-19752.191872,-56189.268075,-43959.779317,-35543.140536
201,0.8063857555389404,-4102.975619,-20091.983091,-19779.706869,-56201.270962,-43959.533448,-35541.620617
202,0.8103976249694824,-4101.83568,-20093.681823,-19800.538695,-56196.465337,-43950.369233,-35534.535114
203,0.8144094944000244,-4071.057328,-20087.333928,-19790.838038,-56177.734575,-43942.322605,-35530.400041
204,0.8184213638305664,-4061.289616,-20087.333928,-19790.10043,-56176.348767,-43936.153523,-35527.963701
205,0.8224332332611084,-4064.150639,-20085.322271,-19784.691308,-56180.550895,-43941.719108,-35535.585646
206,0.8264451026916504,-4075.594732,-20100.074422,-19783.193741,-56190.542125,-43954.124326,-35548.080271
207,0.8304569721221924,-4088.961075,-20110.579742,-19801.298654,-56192.933761,-43952.515,-35546.78387
208,0.8344688415527344,-4082.568477,-20108.277513,-19790.033375,-56183.367215,-43958.974655,-35550.874239
209,0.8384807109832764,-4070.118555,-20110.266818,-19784.557198,-56194.163107,-43971.491631,-35560.396082
210,0.8424925804138184,-4089.229296,-20127.790585,-19810.172297,-56206.188346,-43981.795786,-35570.253202
211,0.8465044498443604,-4100.785148,-20131.858603,-19824.030378,-56189.804517,-43985.036789,-35575.170586
212,0.8505163192749023,-4099.555802,-20125.868335,-19813.03332,-56188.418709,-43987.003742,-35576.936373
213,0.8545281887054443,-4113.36918,-20128.550545,-19818.174221,-56199.929857,-43984.969733,-35571.25903
214,0.8585400581359863,-4110.463454,-20132.529155,-19824.008027,-56192.240857,-43983.226297,-35568.3086
215,0.8625519275665283,-4068.755098,-20111.227943,-19810.999311,-56166.111668,-43970.70932,-35557.088024
216,0.8665637969970703,-4041.105991,-20105.729414,-19786.680613,-56176.90756,-43977.392492,-35566.922792
217,0.8705756664276123,-4040.301328,-20109.126879,-19798.191762,-56190.2292,-43970.932838,-35557.244486
218,0.8745875358581543,-4051.767773,-20108.12105,-19826.377312,-56194.96777,-43968.720015,-35551.991827
219,0.8785994052886963,-4047.811514,-20105.394138,-19829.350094,-56195.235991,-43964.495535,-35555.277533
220,0.8826112747192383,-4051.499552,-20103.538943,-19807.579494,-56194.923066,-43974.79969,-35568.398007
221,0.8866231441497803,-4058.897979,-20105.371786,-19793.341433,-56199.639285,-43980.164108,-35574.611792
222,0.8906350135803223,-4078.187535,-20115.318312,-19811.736919,-56210.077549,-43970.619913,-35566.498109
223,0.8946468830108643,-4081.026206,-20106.154097,-19826.243201,-56203.394378,-43944.69189,-35553.936428
224,0.8986587524414062,-4066.944607,-20106.802297,-19811.938085,-56206.165994,-43958.751137,-35571.437844
225,0.9026706218719482,-4061.513133,-20118.268742,-19813.189782,-56214.883174,-43960.472221,-35569.113263
226,0.9066824913024902,-4060.619063,-20121.912077,-19843.118768,-56208.647038,-43952.783221,-35559.59142
227,0.9106943607330322,-4056.506342,-20119.766309,-19853.735847,-56207.90943,-43959.779317,-35568.68858
228,0.9147062301635742,-4062.295444,-20131.210402,-19862.117751,-56220.158186,-43973.547992,-35585.787664
229,0.9187180995941162,-4078.500459,-20143.034475,-19875.864074,-56228.763608,-43981.527565,-35594.415438
230,0.9227299690246582,-4101.165128,-20146.387237,-19887.486981,-56238.307802,-43984.947382,-35590.548586
231,0.9267418384552002,-4108.943535,-20144.487339,-19904.13903,-56246.108561,-43988.657771,-35586.569975
232,0.9307537078857422,-4106.753064,-20143.593269,-19910.956313,-56251.763553,-43999.453664,-35593.096685
233,0.9347655773162842,-4118.286564,-20147.370714,-19908.2294,-56247.539073,-44009.444894,-35600.875092
234,0.9387774467468262,-4134.201006,-20152.57867,-19924.2556,-56243.828683,-44000.392437,-35591.152083
235,0.9427893161773682,-4131.652907,-20143.928545,-19914.465536,-56238.419561,-44004.572213,-35589.31924
236,0.9468011856079102,-4134.983317,-20141.469853,-19884.447144,-56251.115352,-44017.782094,-35594.974231
237,0.9508130550384521,-4137.486713,-20139.994638,-19854.629917,-56267.87916,-44022.632423,-35594.974231
238,0.9548249244689941,-4145.354527,-20141.872184,-19857.982678,-56264.615806,-44017.759742,-35593.186092
239,0.9588367938995361,-4151.635367,-20147.728342,-19871.304318,-56260.793657,-44031.081382,-35613.101496
240,0.9628486633300781,-4155.815143,-20159.775932,-19890.102135,-56270.851942,-44032.534246,-35617.661252
241,0.9668605327606201,-4145.890969,-20159.463007,-19901.076841,-56255.496294,-44010.920109,-35594.907176
242,0.9708724021911621,-4145.108657,-20160.26767,-19884.670661,-56253.998727,-44015.122237,-35597.52233
243,0.9748842716217041,-4152.708251,-20170.907101,-19904.653121,-56248.321384,-44007.008553,-35586.771141
244,0.9788961410522462,-4132.122294,-20175.533912,-19899.735737,-56250.645965,-44018.229129,-35592.672001
245,0.9829080104827882,-4111.424579,-20184.943996,-19889.208065,-56247.650832,-44004.907489,-35587.128769
246,0.9869198799133302,-4092.403244,-20188.654386,-19888.179885,-56239.805369,-43984.567402,-35580.646763
247,0.9909317493438722,-4084.937761,-20200.187886,-19909.503449,-56244.499236,-43979.225335,-35580.065618
248,0.9949436187744142,-4075.281808,-20209.106232,-19932.950429,-56252.992899,-43976.252553,-35576.355228
249,0.9989554882049562,-4047.11861,-20206.759299,-19912.163307,-56258.983166,-43992.144643,-35589.878033
250,1.002967357635498,-4053.980595,-20215.409424,-19907.491792,-56263.52057,-43997.86669,-35594.638955
251,1.00697922706604,-4075.773546,-20209.486211,-19910.531629,-56254.155189,-43994.849204,-35597.65644
252,1.010991096496582,-4106.261326,-20210.447336,-19902.708519,-56256.546826,-43993.083417,-35602.640879
253,1.015002965927124,-4119.270041,-20207.452203,-19891.331481,-56260.70425,-43998.201966,-35607.200635
254,1.019014835357666,-4147.388535,-20202.713633,-19873.137161,-56262.045355,-44008.439065,-35614.397897
255,1.023026704788208,-4178.636274,-20199.98672,-19866.811617,-56266.940387,-44008.729638,-35613.637938
256,1.02703857421875,-4197.054112,-20198.824429,-19879.730926,-56256.21155,-43995.028018,-35600.003374
257,1.031050443649292,-4201.77033,-20188.229703,-19875.797019,-56242.599337,-44001.912356,-35607.692374
258,1.035062313079834,-4233.912138,-20188.721441,-19877.719269,-56246.823817,-44008.819045,-35615.873112
259,1.039074182510376,-4262.500019,-20188.788496,-19874.679431,-56255.809218,-44026.387516,-35635.363833
260,1.043086051940918,-4305.884755,-20203.272427,-19897.3441,-56276.819858,-44030.835513,-35639.923589
261,1.04709792137146,-4308.63402,-20198.198581,-19903.222609,-56280.82082,-44019.659641,-35626.423136
