run_time_sec,event_type,target_id,lane,score,details
1.0952403545379639,target_spawn,1,0,0,
1.9938991069793703,target_spawn,2,3,0,
3.3940415382385254,target_spawn,3,4,0,
4.192403554916382,target_spawn,4,4,0,
4.192403554916382,target_miss,1,0,0,
5.19537091255188,tracked_catch,2,3,1,
5.492249250411987,target_spawn,5,5,1,
6.3949198722839355,target_spawn,6,6,1,
6.695810079574585,target_miss,3,4,1,
7.393875360488892,target_miss,4,4,1,
7.8953590393066415,target_spawn,7,3,1,
8.693721055984497,target_spawn,8,2,1,
8.693721055984497,target_miss,5,5,1,
9.395798206329346,target_miss,6,6,1,
9.792973279953003,target_spawn,9,2,1,
10.595347166061401,click_hit,7,3,3,
11.293412446975708,target_spawn,10,4,3,
11.995489597320557,hold_start,,3,3,
12.292367935180664,target_miss,8,2,3,
12.392664670944214,hold_end,,3,3,
12.894148349761963,target_spawn,11,3,3,
12.994445085525513,target_miss,9,2,3,
14.193994045257568,target_spawn,12,2,3,
14.795774459838867,target_miss,10,4,3,
15.594136476516724,target_spawn,13,3,3,
15.995323419570925,tracked_catch,11,3,4,
16.59309196472168,target_spawn,14,3,4,
17.395465850830078,target_spawn,15,5,4,
17.395465850830078,target_miss,12,2,4,
18.294124603271484,target_spawn,16,5,4,
18.695311546325684,tracked_catch,13,3,5,
19.69426703453064,tracked_catch,14,3,6,
19.89486050605774,target_spawn,17,4,6,
20.392332315444946,target_miss,15,5,6,
21.194706201553345,target_spawn,18,3,6,
21.69217801094055,target_miss,16,5,6,
22.7954421043396,target_spawn,19,4,6,
23.092320442199707,target_miss,17,4,6,
23.794397592544556,target_spawn,20,0,6,
24.195584535598755,tracked_catch,18,3,7,
24.592759609222412,target_spawn,21,2,7,
26.193495512008667,target_spawn,22,5,7,
26.293792247772217,target_miss,19,4,7,
27.292747735977173,target_miss,20,0,7,
27.493341207504272,target_spawn,23,5,7,
28.19541835784912,target_miss,21,2,7,
28.49229669570923,target_spawn,24,4,7,
29.595560789108276,target_miss,22,5,7,
29.992735862731934,target_spawn,25,4,7,
30.795109748840332,target_miss,23,5,7,
30.895406484603882,target_spawn,26,4,7,
31.693768501281742,target_miss,24,4,7,
32.29554891586304,target_spawn,27,1,7,
33.29450440406799,target_miss,25,4,7,
33.79598808288574,target_spawn,28,0,7,
34.1931631565094,target_miss,26,4,7,
35.09583377838135,target_spawn,29,2,7,
35.493008852005005,target_miss,27,1,7,
36.59226107597351,target_spawn,30,3,7,
37.09374475479126,target_miss,28,0,7,
37.992403507232666,target_spawn,31,2,7,
37.992403507232666,target_miss,29,2,7,
38.995370864868164,target_spawn,32,1,7,
39.39254593849182,tracked_catch,30,3,8,
40.59209489822388,target_spawn,33,2,8,
41.093578577041626,target_miss,31,2,8,
42.09253406524658,target_spawn,34,0,8,
42.29312753677368,target_miss,32,1,8,
43.09550142288208,target_spawn,35,4,8,
43.49267649650574,target_miss,33,2,8,
44.194753646850586,target_spawn,36,6,8,
45.09341239929199,target_miss,34,0,8,
45.69519281387329,target_spawn,37,3,8,
46.5938515663147,target_miss,35,4,8,
47.195631980895996,target_miss,36,6,8,
47.295928716659546,target_spawn,38,6,8,
48.2948842048645,target_spawn,39,4,8,
48.99294948577881,tracked_catch,37,3,9,
49.09324622154236,target_spawn,40,0,9,
50.292795181274414,target_miss,38,6,9,
50.393091917037964,target_spawn,41,3,9,
51.19546580314636,target_miss,39,4,9,
51.99382781982422,target_spawn,42,4,9,
51.99382781982422,target_miss,40,0,9,
53.093080043792725,target_spawn,43,4,9,
53.193376779556274,tracked_catch,41,3,10,
54.49322247505188,target_spawn,44,3,10,
54.99470615386963,target_miss,42,4,10,
55.793068170547485,target_spawn,45,4,10,
56.194255113601685,target_miss,43,4,10,
56.79202365875244,target_spawn,46,3,10,
57.09291386604309,tracked_catch,44,3,11,
57.99558448791504,target_spawn,47,0,11,
59.094836711883545,target_miss,45,4,11,
59.295430183410645,target_spawn,48,0,11,
60.0937922000885,target_spawn,49,5,11,
60.0937922000885,tracked_catch,46,3,12,
61.393637895584106,target_spawn,50,4,12,
61.594231367111206,target_miss,47,0,12,
62.29229664802551,target_miss,48,0,12,
62.39259338378906,target_spawn,51,3,12,
63.19496726989747,target_spawn,52,3,12,
63.39556074142457,target_miss,49,5,12,
64.59510970115662,target_miss,50,4,12,
64.69540643692017,target_spawn,53,3,12,
65.49376845359802,tracked_catch,51,3,13,
65.99525213241577,target_spawn,54,3,13,
66.19584560394287,tracked_catch,52,3,14,
67.49569129943848,target_spawn,55,3,14,
67.49569129943848,tracked_catch,53,3,15,
68.69524025917053,target_spawn,56,3,15,
68.79553699493408,tracked_catch,54,3,16,
69.89478921890259,target_spawn,57,0,16,
70.5928544998169,tracked_catch,55,3,17,
71.3952283859253,target_spawn,58,0,17,
71.79240345954895,tracked_catch,56,3,18,
72.6950740814209,target_spawn,59,3,18,
73.1925458908081,target_miss,57,0,18,
74.09521651268005,target_spawn,60,3,18,
74.49239158630371,target_miss,58,0,18,
74.99387526512146,target_spawn,61,0,18,
75.79223728179932,target_spawn,62,6,18,
75.89253401756287,tracked_catch,59,3,19,
76.79520463943481,target_spawn,63,5,19,
76.99579811096191,tracked_catch,60,3,20,
78.09505033493042,target_spawn,64,1,20,
78.49222540855408,target_miss,61,0,20,
78.89341235160828,target_miss,62,6,20,
78.99370908737183,target_spawn,65,3,20,
79.69578623771667,target_miss,63,5,20,
79.79207110404968,target_spawn,66,0,20,
80.99563193321228,target_spawn,67,1,20,
81.59340047836304,target_miss,64,1,20,
81.79399394989014,tracked_catch,65,3,21,
82.19518089294434,target_spawn,68,0,21,
82.99354290962219,target_miss,66,0,21,
83.59532332420349,target_spawn,69,0,21,
84.59427881240845,target_miss,67,1,21,
84.79487228393555,target_spawn,70,0,21,
85.3926408290863,target_miss,68,0,21,
85.9944212436676,target_spawn,71,4,21,
86.59218978881836,target_miss,69,0,21,
86.99337673187256,target_spawn,72,2,21,
87.99233222007751,target_miss,70,0,21,
88.09262895584106,target_spawn,73,2,21,
89.39247465133667,target_miss,71,4,21,
89.59306812286377,target_spawn,74,0,21,
90.39544200897217,target_miss,72,2,21,
91.29410076141357,target_spawn,75,0,21,
91.39439749717712,target_miss,73,2,21,
92.49364972114563,target_spawn,76,3,21,
92.89483666419983,target_miss,74,0,21,
93.29201173782349,target_spawn,77,2,21,
94.49557256698608,target_miss,75,0,21,
94.79245090484619,target_spawn,78,4,21,
95.49452805519104,tracked_catch,76,3,22,
96.2928900718689,target_spawn,79,5,22,
96.79437375068665,target_miss,77,2,22,
97.2958574295044,target_spawn,80,1,22,
97.69303250312805,target_miss,78,4,22,
98.89258146286011,target_spawn,81,1,22,
99.2937684059143,target_miss,79,5,22,
100.19242715835571,target_spawn,82,1,22,
100.69391083717346,target_miss,80,1,22,
101.69286632537842,target_spawn,83,2,22,
102.29464673995972,target_miss,81,1,22,
103.19330549240112,target_spawn,84,3,22,
103.29360222816467,target_miss,82,1,22,
104.19226098060608,target_spawn,85,3,22,
104.69374465942383,target_miss,83,2,22,
105.49210667610168,target_spawn,86,5,22,
106.19418382644653,tracked_catch,84,3,23,
106.89224910736084,target_spawn,87,0,23,
106.89224910736084,tracked_catch,85,3,24,
108.39268827438354,target_spawn,88,4,24,
108.79387521743774,target_miss,86,5,24,
109.49595236778259,target_spawn,89,3,24,
110.49490785598755,target_spawn,90,6,24,
110.49490785598755,target_miss,87,0,24,
111.2932698726654,target_spawn,91,5,24,
111.99534702301025,target_miss,88,4,24,
112.19594049453735,target_spawn,92,6,24,
112.69341230392456,tracked_catch,89,3,25,
113.39548945426941,target_miss,90,6,25,
113.49578619003296,target_spawn,93,1,25,
114.69533514976501,target_miss,91,5,25,
115.09251022338867,target_spawn,94,3,25,
115.49369716644287,target_miss,92,6,25,
116.49265265464783,target_spawn,95,3,25,
116.49265265464783,target_miss,93,1,25,
117.99309182167053,target_spawn,96,2,25,
118.39427876472473,tracked_catch,94,3,26,
119.19264078140259,tracked_catch,95,3,27,
119.39323425292969,target_spawn,97,0,27,
120.39218974113464,target_spawn,98,3,27,
121.49545383453369,target_miss,96,2,27,
121.89262890815735,target_spawn,99,1,27,
122.3941125869751,target_miss,97,0,27,
122.7952995300293,target_spawn,100,6,27,
123.39306807518005,tracked_catch,98,3,28,
124.19544196128845,target_spawn,101,4,28,
125.49528765678407,target_miss,99,1,28,
125.89246273040773,target_spawn,102,0,28,
126.39394640922548,target_miss,100,6,28,
127.49319863319398,target_spawn,103,2,28,
127.49319863319398,target_miss,101,4,28,
128.79304432868958,target_spawn,104,6,28,
129.49512147903442,target_miss,102,0,28,
130.09289002418518,target_spawn,105,3,28,
130.99556064605713,target_spawn,106,3,28,
131.09585738182068,target_miss,103,2,28,
132.19510960578918,target_spawn,107,5,28,
132.19510960578918,target_miss,104,6,28,
132.79287815093994,tracked_catch,105,3,29,
133.59525203704834,target_spawn,108,2,29,
133.992427110672,tracked_catch,106,3,30,
135.1959879398346,target_spawn,109,4,30,
135.2922728061676,target_miss,107,5,30,
136.7927119731903,target_spawn,110,2,30,
136.89300870895386,target_miss,108,2,30,
138.0925576686859,target_spawn,111,5,30,
138.59404134750366,target_miss,109,4,30,
138.79463481903076,click_miss,,3,30,
138.99522829055786,target_spawn,112,3,30,
139.19582176208496,hold_start,,3,30,
139.59299683570862,hold_end,,3,30,
139.99418377876282,target_miss,110,2,30,
140.49566745758057,target_spawn,113,2,30,
141.49462294578552,target_miss,111,5,30,
141.79551315307617,tracked_catch,112,3,31,
141.99209475517273,target_spawn,114,1,31,
143.29595232009888,target_spawn,115,3,31,
143.79342412948608,target_miss,113,2,31,
144.09431433677673,click_hit,115,3,33,
144.49550127983093,hold_start,,3,33,
144.6920828819275,target_spawn,116,6,33,
145.2938632965088,target_miss,114,1,33,
145.695050239563,hold_end,,3,33,
146.09222531318665,target_spawn,117,0,33,
147.4923677444458,target_spawn,118,0,33,
147.6929612159729,target_miss,116,6,33,
148.89251017570496,target_spawn,119,1,33,
149.49429059028625,target_miss,117,0,33,
149.7951807975769,target_spawn,120,3,33,
150.19235587120056,click_hit,120,3,35,
150.4932460784912,target_miss,118,0,35,
150.8944330215454,click_miss,,3,35,
151.0950264930725,target_spawn,121,3,35,
151.59249830245972,click_hit,121,3,37,
151.89338850975037,target_miss,119,1,37,
152.39487218856812,target_spawn,122,5,37,
153.49412441253662,target_spawn,123,3,37,
155.09486031532288,target_spawn,124,0,37,
155.69262886047363,target_miss,122,5,37,
155.79292559623718,hold_start,,3,37,
155.79292559623718,hold_capture,123,3,38,
155.99351906776428,target_spawn,125,5,38,
156.19411253929138,hold_end,,3,38,
156.79589295387268,target_spawn,126,6,38,
157.2933647632599,click_miss,,3,38,
157.6945517063141,hold_start,,3,38,
157.6945517063141,target_spawn,127,4,38,
158.1920235157013,target_miss,124,0,38,
158.9943974018097,target_spawn,128,3,38,
159.1949908733368,target_miss,125,5,38,
159.8930561542511,hold_capture,128,3,39,
160.39453983306885,target_spawn,129,6,39,
160.39453983306885,target_miss,126,6,39,
160.59513330459595,hold_end,,3,39,
160.59513330459595,target_miss,127,4,39,
161.49379205703735,target_spawn,130,6,39,
162.4927475452423,target_spawn,131,5,39,
163.39541816711426,target_miss,129,6,39,
163.89288997650146,target_spawn,132,1,39,
164.7955605983734,target_spawn,133,2,39,
164.7955605983734,target_miss,130,6,39,
164.89585733413696,click_miss,,3,39,
165.19273567199707,hold_start,,3,39,
165.89481282234192,target_miss,131,5,39,
166.29198789596558,target_spawn,134,3,39,
167.29495525360107,hold_capture,134,3,40,
167.29495525360107,target_miss,132,1,40,
167.39525198936462,target_spawn,135,1,40,
167.99302053451538,hold_end,,3,40,
168.19361400604248,target_miss,133,2,40,
168.39420747756958,click_miss,,3,40,
168.49450421333313,target_spawn,136,3,40,
168.59480094909668,hold_start,,3,40,
169.4934597015381,hold_end,,3,40,
169.99494338035583,target_spawn,137,6,40,
170.9938988685608,target_miss,135,1,40,
171.395085811615,target_spawn,138,6,40,
171.69597601890564,tracked_catch,136,3,41,
172.59463477134705,target_spawn,139,2,41,
173.1924033164978,target_miss,137,6,41,
173.29270005226135,click_miss,,3,41,
174.09507393836975,target_spawn,140,3,41,
174.1953706741333,click_hit,140,3,43,
174.4922490119934,hold_start,,3,43,
