window_sec,overlap,train_file,test_file,gate_threshold,accuracy,macro_f1,active_detection_rate,active_recall,left_right_accuracy_on_active_windows,left_right_accuracy_when_detected,gate_selected_channels,left_right_selected_channels,gate_train_calibration_windows,gate_test_calibration_windows,left_right_train_calibration_windows,left_right_test_calibration_windows
1.0,0.5,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,0.3,0.5603015075376885,0.4963472634022625,0.4956030150753769,0.6954397394136808,0.4495114006514658,0.6463700234192038,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8","Channel_1, Channel_3, Channel_7, Channel_8",89,89,"{'LR-2-27-26-(01).csv': 89, 'LR-3-8-26-(02).csv': 89, 'LR-3-8-26-(03).csv': 89}",{'LR-3-15-26-(04).csv': 89}
2.0,0.5,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,0.3,0.6680384087791496,0.47272130168681886,0.23182441700960219,0.4562043795620438,0.2773722627737226,0.608,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8","Channel_1, Channel_3, Channel_7, Channel_8",44,44,"{'LR-2-27-26-(01).csv': 44, 'LR-3-8-26-(02).csv': 44, 'LR-3-8-26-(03).csv': 44}",{'LR-3-15-26-(04).csv': 44}
0.5,0.5,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,0.3,0.3168587022437841,0.31666120727915287,0.769860521528199,0.7542768273716952,0.4681181959564541,0.6206185567010309,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8","Channel_1, Channel_3, Channel_7, Channel_8",179,179,"{'LR-2-27-26-(01).csv': 179, 'LR-3-8-26-(02).csv': 179, 'LR-3-8-26-(03).csv': 179}",{'LR-3-15-26-(04).csv': 179}
