start_sample,end_sample,center_sample,start_time_sec,end_time_sec,center_time_sec,mapped_label,aggregate_rms,Channel_1_rms,Channel_3_rms,Channel_7_rms,Channel_8_rms,top_rms_window
0,497,249,0.0,1.9944915771484375,0.9992523193359375,BASELINE,0.5755913193340096,0.5323662964389889,0.5655976619572586,0.784415793702852,0.4199855252369393,0
249,746,498,0.9992523193359375,2.993743896484375,1.998504638671875,BASELINE,0.6004412462249255,0.620533431499925,0.6230995956878858,0.7029442648005232,0.4551876929113679,0
498,995,747,1.998504638671875,3.9929962158203125,2.9977569580078125,BASELINE,0.640425750419932,0.6314959319559412,0.8031568576244966,0.656956797430545,0.4700934146687448,0
747,1244,996,2.9977569580078125,4.99224853515625,3.99700927734375,BASELINE,0.46760856299190706,0.4381510630658323,0.670625059468403,0.3944782208258579,0.3671799086075349,0
996,1493,1245,3.99700927734375,5.9915008544921875,4.9962615966796875,BASELINE,0.34573971971491646,0.32163733210263146,0.42358179035026033,0.3012183105082931,0.33652144589848093,0
1245,1742,1494,4.9962615966796875,6.990753173828125,5.995513916015625,BASELINE,0.3403694110096255,0.3102001221645212,0.3906968893506698,0.2839329420747941,0.37664769044851676,0
1494,1991,1743,5.995513916015625,7.9900054931640625,6.9947662353515625,BASELINE,0.337860665607808,0.3012194998390371,0.3795152926360966,0.3099278169496391,0.36078005300645916,0
1743,2240,1992,6.9947662353515625,8.9892578125,7.9940185546875,BASELINE,0.4925787418984657,0.4488821807212267,0.7508060831301325,0.45414987969742177,0.3164768240450817,0
1992,2489,2241,7.9940185546875,9.988510131835938,8.993270874023438,BASELINE,0.6311436831257642,0.5213246611404869,0.8170216009147224,0.678161135856998,0.5080673345908491,0
2241,2738,2490,8.993270874023438,10.987762451171875,9.992523193359375,BASELINE,0.5932537814832353,0.3876929255176849,0.5448387958563606,0.7166359351017336,0.7238474694571617,0
2490,2987,2739,9.992523193359375,11.987014770507812,10.991775512695312,BASELINE,0.5336841263128914,0.3225695212423547,0.4694467876325897,0.5838617852226237,0.7588584111539977,0
2739,3236,2988,10.991775512695312,12.98626708984375,11.99102783203125,BASELINE,0.523590802625138,0.39047804791623136,0.5266489560480698,0.5560424209731943,0.6211937855630568,0
2988,3485,3237,11.99102783203125,13.985519409179688,12.990280151367188,BASELINE,0.46711227113843945,0.4015311589196763,0.5119439266131113,0.5259781771704792,0.4289958218504909,0
3237,3734,3486,12.990280151367188,14.984771728515625,13.989532470703125,BASELINE,0.34655077689238073,0.31748694313326303,0.3690302216541872,0.3608744911323261,0.3388114516497467,0
