family,filename,file_path,session_date,session_rank,split_role,label,segment_kind,segment_source,segment_context,segment_index,start_sample,end_sample,start_time_sec,end_time_sec,window_sec,overlap,Channel_1_mean,Channel_1_std,Channel_1_rms,Channel_1_ptp,Channel_1_var,Channel_1_energy,Channel_3_mean,Channel_3_std,Channel_3_rms,Channel_3_ptp,Channel_3_var,Channel_3_energy,Channel_4_mean,Channel_4_std,Channel_4_rms,Channel_4_ptp,Channel_4_var,Channel_4_energy,Channel_6_mean,Channel_6_std,Channel_6_rms,Channel_6_ptp,Channel_6_var,Channel_6_energy,Channel_7_mean,Channel_7_std,Channel_7_rms,Channel_7_ptp,Channel_7_var,Channel_7_energy,Channel_8_mean,Channel_8_std,Channel_8_rms,Channel_8_ptp,Channel_8_var,Channel_8_energy
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,0,498,0.0,1.9979109764099123,2.0,0.5,0.09141263298937836,45.49461717969478,45.49470901760389,1245.573081225352,2069.760192326979,2069.7685485964485,-0.0021040858843224103,30.787970898429048,30.787970970326896,860.9707808706814,947.8991520425141,947.8991564696917,0.11594642606923232,40.98510839977909,40.985272405040334,1110.5427868368206,1679.7791105416425,1679.7925541153604,0.08256023645216534,49.221163220664764,49.221232461082934,1352.961971353799,2422.722908795322,2422.7297249879643,0.04955657189182525,27.097717370556982,27.097762685291993,743.5864122342449,734.2862866945856,734.2887425484032,0.03448562362842192,25.905209591729296,25.905232545755318,714.7988566340636,671.0798839914236,671.0810732496606
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,250,748,1.002967357635498,3.00087833404541,2.0,0.5,-0.0003040429979161569,0.12691256920576818,0.12691293340142082,0.9105758084891874,0.016106800222408898,0.01610689266455348,-0.00022574069202308,0.12753543433571934,0.1275356341187067,0.8991374040291591,0.016265287011200582,0.01626533797006062,-0.00039977548591586847,0.10794871033623371,0.10794945059468913,0.6648591320471698,0.011652924063256092,0.011653083883695231,-0.0002499942588346778,0.10593722369375196,0.10593751866581305,0.6439050459133416,0.01122269536394004,0.01122275786106949,-0.0009445307320836304,0.11295691484908936,0.11296086380038121,0.6917499040218971,0.012759264612224423,0.012760156750528275,-8.095330693784472e-05,0.10709089135440181,0.10709092195194789,0.6020464963087333,0.011468459011080291,0.011468465564518195
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,500,998,2.005934715270996,4.003845691680908,2.0,0.5,0.00010546750377049975,0.11449781401345976,0.11449786258815128,0.6297845418541146,0.013109749413860823,0.013109760537255172,-0.00010440382809781173,0.11612567405442012,0.11612572098700935,0.6951383268738427,0.013485172174593421,0.013485183074752743,-0.00010638848289963946,0.10381273248310949,0.10381278699716597,0.5915560975630197,0.010777083425609655,0.01077709474411895,-0.00024455427701920154,0.10036451195516963,0.10036480990264363,0.5618968729772005,0.010073035259999386,0.010073095066793793,-0.0002656031909997786,0.11944843286307903,0.11944872815773538,0.7329600187122534,0.0142679281134455,0.014267998658500567,-0.0001472876474583137,0.10158281383536381,0.10158292061346373,0.6017591152070091,0.010319068066710181,0.010319089760361276
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,750,1248,3.008902072906494,5.006813049316406,2.0,0.5,0.00017835889184211577,0.10951422209259395,0.10951436733342476,0.6297845418541146,0.011993364840545993,0.011993396652440293,0.00020959417852188663,0.11647489300748917,0.11647508158754696,0.6663085001844535,0.01356640070110605,0.01356644463082572,0.0003934739316406118,0.099312906763373,0.09931368622463523,0.5812786035680634,0.009863053449790419,0.0098632082715253,0.00029907559289936593,0.10092212320513183,0.10092256634887006,0.5784828819236443,0.010185274952231808,0.01018536439844208,0.0005890167213029073,0.10877535538048787,0.10877695012662106,0.7073653187519114,0.011832077938151431,0.011832424878849406,0.0003791424516012884,0.10416397041251546,0.10416466042328368,0.5457048541627268,0.010850132732099397,0.010850276481098002
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,1000,1498,4.011869430541992,6.009780406951904,2.0,0.5,9.567601867488668e-05,0.10356639769097607,0.10356644188435732,0.6222693402891624,0.010725998730685414,0.010726007884585963,0.00042750314463570687,0.11751174172677405,0.1175125193441053,0.6986639548450535,0.013809009443660048,0.013809192202598722,0.00013021832819304414,0.09600174799031676,0.09600183630540243,0.5403618823498239,0.009216335617196288,0.009216352574009285,0.0003501803659789748,0.10320928312569731,0.1032098771901656,0.5683861898554382,0.010652156123320348,0.010652278749609065,7.15179212915565e-05,0.10009269551530788,0.10009272106568588,0.6333347903372678,0.010018547695520132,0.010018552810333198,0.00031034780401740803,0.10669465414191703,0.10669510550265533,0.6266674525802516,0.011383749222463293,0.011383845538222751
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,1250,1748,5.01483678817749,7.012747764587402,2.0,0.5,0.00044255492304966676,0.1073751049226386,0.1073760169311917,0.6222693402891624,0.01152941315714765,0.011529609012007565,-0.0002283569938730667,0.12281587626592033,0.12281608856286909,0.6986639548450535,0.015083739462965854,0.015083791609882503,0.00035549553373568737,0.10135687825094973,0.10135750167526994,0.5447324678901231,0.010273216768777845,0.01027334314585235,0.0001237202272120456,0.11021828226844121,0.11021835170651213,0.6312911175864031,0.012148069746205784,0.012148085052900406,0.0008894577399341598,0.10808991643634959,0.10809357598991795,0.6648968558478272,0.011683430035217036,0.011684221170288165,0.00011435990599785053,0.11032022259784653,0.11032028187158748,0.6676725613166616,0.012170551514038409,0.012170564592226511
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,1500,1998,6.017804145812988,8.0157151222229,2.0,0.5,0.00010793309439648923,0.10173588531871784,0.10173594257260397,0.5946432461217508,0.010350190361583307,0.010350202011136173,-0.0003347899880938308,0.11776205907454404,0.11776253496682436,0.6627108931856323,0.0138679025574764,0.013868014641812528,-0.00011274640555219088,0.09909211772042661,0.09909218186149123,0.5544420881100482,0.009819247794318886,0.009819260506070852,-0.00026922956597824724,0.10632782547023772,0.10632816632383223,0.6312911175864031,0.011305606469229334,0.01130567895378853,9.070716712131077e-05,0.11199845528778375,0.11199849201949046,0.8286044578800522,0.012543653986849698,0.012543662214639867,-0.00011852093974710294,0.11015760049718178,0.1101576642567818,0.7171512132998528,0.012134696947296703,0.012134710994509863
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,1750,2248,7.020771503448486,9.018682479858398,2.0,0.5,-0.0002721178425898646,0.10811393290786163,0.10811427536142422,0.776448505326974,0.011688622488805605,0.01168869653692586,0.00034751358449531514,0.12532740474428905,0.12532788654417762,0.8772224508898255,0.015706958379938844,0.015707079145630257,-0.0002624605092023788,0.10197625592961797,0.10197659368179461,0.760336387270917,0.010399156773422943,0.010399225658941833,0.00019590502331427614,0.11143350508478471,0.11143367728949315,0.8912922758019878,0.01241742605548074,0.0124174644342589,-0.0007403440947240609,0.11487765840338912,0.11488004400079393,1.000495573508553,0.013196876400245758,0.01319742450962435,0.00021531780677320523,0.12511761405079624,0.12511779932336534,1.3103034407263685,0.015654417345764008,0.01565446370752192
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,2000,2498,8.023738861083984,10.021649837493896,2.0,0.5,0.0003614705454922956,0.12932390518663262,0.12932441035503084,0.8205415734852921,0.016724672452721145,0.016724803113676405,-0.00012511214981199363,0.15462365870658767,0.15462370932318673,1.129518326517163,0.023908475831811306,0.02390849148486134,0.00032256333817984355,0.11857075736920607,0.11857119612373938,0.8242029349700702,0.014059024503107134,0.01405912855021427,0.00027600089943406633,0.12902517428375318,0.12902546948354568,0.9048846506219894,0.016647495598952886,0.016647571775449375,0.0001764248626863723,0.11952787212459877,0.11952800232734842,1.000495573508553,0.014286912214634434,0.014286943340366608,0.0004993106367948521,0.14251287571449703,0.1425137504086104,1.3103034407263685,0.020309919744415678,0.020310169055527696
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,2250,2748,9.026706218719482,11.024617195129395,2.0,0.5,-0.0003455917016961223,0.13771642133533027,0.1377168549562271,0.8193531471366289,0.018965812705410208,0.01896593213903449,-0.00021750873347130983,0.15154404239733993,0.15154419849065784,1.129518326517163,0.022965596786126762,0.022965644096175897,-0.00024397342137401988,0.12501899010334458,0.12501922815907363,0.8195548611826222,0.01562974788646017,0.015629807409490507,-0.0003821400723269199,0.12774642172664472,0.1277469932914143,0.8372695717252705,0.016319148263961768,0.01631929429499665,-0.00034810568110131616,0.12273768855588035,0.12273818219936898,0.8037604070406392,0.015064540192040283,0.015064661369605497,-0.0002948966365701865,0.13633412564287306,0.1363344445796181,0.8586650264417978,0.0185869938148067,0.018587080778832962
