family,label,segment_count,total_duration_sec
jaw,BASELINE,3,143.3289988040924
jaw,HOLD,39,300.40225172042847
jaw,REPEATED,39,301.2168869972229
jaw,REST,78,910.5368950366974
left_right,BASELINE,4,198.33470058441162
left_right,LEFT,68,531.4248161315918
left_right,REST,134,1883.3025150299072
left_right,RIGHT,66,495.48218154907227
