subject,display_name,filename,file_path,dataset_track,trial_index_overall,label,marker_code,marker_pair_type,trial_index_within_label,expected_count,observed_count,count_match,count_error,count_filter_family,count_channels,start_sample,end_sample,start_time_sec,end_time_sec,duration_sec,gap_from_previous_trial_sec,detected_event_times_sec,count_basis,issues,trial_uid
Ben,Ben LRJ,Ben-LRJ(1-6)-4:9.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Ben/Ben-LRJ(1-6)-4:9.csv,lrj,11,RIGHT,2,2->2,5,5,5,True,0,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",34237,35788,136.948,143.152,6.204,3.512,"[137.536, 138.36, 139.728, 141.656, 142.568]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.026uV; ignore_peaks_before=0.10s,,Ben::Ben-LRJ(1-6)-4:9.csv::trial_11
Ben,Ben LRJ,Ben-LRJ(1-6)-4:9.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Ben/Ben-LRJ(1-6)-4:9.csv,lrj,12,RIGHT,2,2->2,6,6,3,False,-3,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",37072,38536,148.288,154.144,5.856,5.136,"[150.248, 151.616, 152.44]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.056uV; ignore_peaks_before=0.10s,observed_count 3 vs expected_count 6,Ben::Ben-LRJ(1-6)-4:9.csv::trial_12
Ben,Ben LRJ,Ben-LRJ(1-6)-4:9.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Ben/Ben-LRJ(1-6)-4:9.csv,lrj,13,JAW,3,3->3,1,1,1,True,0,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",40305,41673,161.22,166.692,5.472,7.076,[164.556],family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=1.663uV; ignore_peaks_before=0.10s,,Ben::Ben-LRJ(1-6)-4:9.csv::trial_13
Ben,Ben LRJ,Ben-LRJ(1-6)-4:9.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Ben/Ben-LRJ(1-6)-4:9.csv,lrj,14,JAW,3,3->3,2,2,2,True,0,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",42937,43703,171.748,174.812,3.064,5.056,"[172.396, 173.208]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.120uV; ignore_peaks_before=0.10s,,Ben::Ben-LRJ(1-6)-4:9.csv::trial_14
Ben,Ben LRJ,Ben-LRJ(1-6)-4:9.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Ben/Ben-LRJ(1-6)-4:9.csv,lrj,15,JAW,3,3->3,3,3,3,True,0,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",44984,46160,179.936,184.64,4.704,5.124,"[180.672, 182.024, 184.184]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.138uV; ignore_peaks_before=0.10s,,Ben::Ben-LRJ(1-6)-4:9.csv::trial_15
Ben,Ben LRJ,Ben-LRJ(1-6)-4:9.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Ben/Ben-LRJ(1-6)-4:9.csv,lrj,16,JAW,3,3->3,4,4,2,False,-2,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",48463,49274,193.852,197.096,3.244,9.212,"[194.888, 196.308]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.124uV; ignore_peaks_before=0.10s,observed_count 2 vs expected_count 4,Ben::Ben-LRJ(1-6)-4:9.csv::trial_16
Ben,Ben LRJ,Ben-LRJ(1-6)-4:9.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Ben/Ben-LRJ(1-6)-4:9.csv,lrj,17,JAW,3,3->3,5,5,3,False,-2,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",50498,52029,201.992,208.116,6.124,4.896,"[202.4, 203.18, 205.948]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.082uV; ignore_peaks_before=0.10s,observed_count 3 vs expected_count 5,Ben::Ben-LRJ(1-6)-4:9.csv::trial_17
Ben,Ben LRJ,Ben-LRJ(1-6)-4:9.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Ben/Ben-LRJ(1-6)-4:9.csv,lrj,18,JAW,3,3->3,6,6,3,False,-3,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",53267,54716,213.068,218.864,5.796,4.952,"[214.812, 216.684, 217.444]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.115uV; ignore_peaks_before=0.10s,observed_count 3 vs expected_count 6,Ben::Ben-LRJ(1-6)-4:9.csv::trial_18
Yaniv,Yaniv LRJ,Yaniv-LRJ(6)-4:7.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/Yaniv-LRJ(6)-4:7.csv,lrj,1,LEFT,1,1->1,1,1,1,True,0,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",11678,12071,46.712,48.284,1.572,,[47.552],family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.025uV; ignore_peaks_before=0.10s,,Yaniv::Yaniv-LRJ(6)-4:7.csv::trial_1
Yaniv,Yaniv LRJ,Yaniv-LRJ(6)-4:7.csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/Yaniv-LRJ(6)-4:7.csv,lrj,2,LEFT,1,1->1,2,2,1,False,-1,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",13052,13592,52.208,54.368,2.16,3.924,[53.696],family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.066uV; ignore_peaks_before=0.10s,observed_count 1 vs expected_count 2,Yaniv::Yaniv-LRJ(6)-4:7.csv::trial_2
