filename,time_sec,height,velocity,click_emitted,clench_probability,onset_probability
HR-3-15-26-(03).csv,0.1003265380859375,0.4813789836480282,-0.18560409545898438,False,0.0002933444577011,0.0
HR-3-15-26-(03).csv,0.200653076171875,0.5781334860948846,0.9643959045410155,True,0.9996033502687284,2.881789602249842e-214
HR-3-15-26-(03).csv,0.3009796142578125,0.6562669721897691,0.7787918090820312,False,0.9964180391098598,2.066886497439955e-53
HR-3-15-26-(03).csv,0.40130615234375,0.715779441932682,0.5931877136230468,False,0.9427887580460284,8.133124870421691e-29
HR-3-15-26-(03).csv,0.5016326904296875,0.756670895323623,0.4075836181640624,False,0.7728873404605437,9.4112182064131e-16
HR-3-15-26-(03).csv,0.601959228515625,0.7789413323625922,0.22197952270507804,False,0.5830897862467247,6.1737854472592585e-09
HR-3-15-26-(03).csv,0.7022857666015625,0.7825907530495897,0.03637542724609366,False,0.4426264983783795,2.980750885462591e-05
HR-3-15-26-(03).csv,0.8026123046875,0.7676191573846154,-0.1492286682128907,False,0.3489126150492472,0.0028721055434066
HR-3-15-26-(03).csv,0.9029388427734376,0.7340265453676693,-0.3348327636718751,False,0.3252533534930862,0.0247544317977985
HR-3-15-26-(03).csv,1.003265380859375,0.6818129169987515,-0.5204368591308595,False,0.3575754251061805,0.0783304855531378
HR-3-15-26-(03).csv,1.1035919189453125,0.6109782722778618,-0.7060409545898438,False,0.3636008220166793,0.0894299316640034
HR-3-15-26-(03).csv,1.20391845703125,0.5215226112050004,-0.8916450500488282,False,0.3529312693526582,0.1185687899419113
HR-3-15-26-(03).csv,1.3042449951171875,0.41344593378016725,-1.0772491455078126,False,0.4050397987184501,0.1818342625530289
HR-3-15-26-(03).csv,1.404571533203125,0.2867482400033623,-1.262853240966797,False,0.3563734194909523,0.1357709410030015
HR-3-15-26-(03).csv,1.5048980712890625,0.14142952987458557,-1.4484573364257813,False,0.3626809450401463,0.10067120299191
HR-3-15-26-(03).csv,1.605224609375,0.05,0.0,False,0.3544217158034031,0.1191390848426389
HR-3-15-26-(03).csv,1.7055511474609375,0.05,0.0,False,0.3165891516412932,0.1401022462540967
HR-3-15-26-(03).csv,1.805877685546875,0.05,0.0,False,0.3179913609906549,0.1168138691048773
HR-3-15-26-(03).csv,1.9062042236328125,0.05,0.0,False,0.3118504941252573,0.0689316986984543
