family,task_type,filename,train_fraction,feature_mode,with_asymmetry,model_name,selected_channels,excluded_channels,feature_count,train_class_counts,test_class_counts,accuracy,macro_f1,active_precision,active_recall,active_to_rest_errors,rest_to_active_errors,confusion_matrix_csv
left_right,active_vs_rest_within_session,LR-2-27-26-(01).csv,0.7,combined,True,RandomForest,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),78,"{'ACTIVE': 110, 'REST': 167}","{'ACTIVE': 54, 'REST': 65}",0.7815126050420168,0.7656060606060606,0.9117647058823529,0.5740740740740741,23,3,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_within_session_lr_2_27_26_01_csv_RandomForest.csv
left_right,active_vs_rest_within_session,LR-2-27-26-(01).csv,0.7,combined,True,LDA,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),78,"{'ACTIVE': 110, 'REST': 167}","{'ACTIVE': 54, 'REST': 65}",0.7310924369747899,0.6987341772151898,0.9230769230769231,0.4444444444444444,30,2,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_within_session_lr_2_27_26_01_csv_LDA.csv
left_right,active_vs_rest_within_session,LR-2-27-26-(01).csv,0.7,combined,True,LogisticRegression,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),78,"{'ACTIVE': 110, 'REST': 167}","{'ACTIVE': 54, 'REST': 65}",0.6722689075630253,0.6203680981595092,0.8571428571428571,0.3333333333333333,36,3,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_within_session_lr_2_27_26_01_csv_LogisticRegression.csv
