start_sample,end_sample,center_sample,start_time_sec,end_time_sec,center_time_sec,mapped_label,aggregate_rms,Channel_1_rms,Channel_3_rms,Channel_7_rms,Channel_8_rms,top_rms_window
0,497,249,0.0,1.9940176010131836,0.9990148544311523,BASELINE,0.4057779404449854,0.3739858824325063,0.4308343486963237,0.3722357598937916,0.44605577075732006,0
249,746,498,0.9990148544311523,2.993032455444336,1.9980297088623047,BASELINE,0.2621082109301299,0.2248923590750113,0.2720499096008488,0.2501678147644937,0.3013227602801659,0
498,995,747,1.9980297088623047,3.9920473098754883,2.997044563293457,BASELINE,0.23857160831395682,0.21656570324749913,0.22992152277103106,0.24156361413177546,0.2662355931055217,0
747,1244,996,2.997044563293457,4.991062164306641,3.9960594177246094,BASELINE,0.24204512083930468,0.2394692760076915,0.2744757985340525,0.2292161961451477,0.22501921267032698,0
996,1493,1245,3.9960594177246094,5.990077018737793,4.995074272155762,BASELINE,0.28564693508306427,0.2964800502257708,0.3198105947518962,0.2673856292978265,0.2589114660567635,0
1245,1742,1494,4.995074272155762,6.989091873168945,5.994089126586914,BASELINE,0.42643235415418845,0.46735994096374855,0.47031977602748826,0.3612241353113776,0.4068255643141393,0
1494,1991,1743,5.994089126586914,7.988106727600098,6.993103981018066,BASELINE,0.43271424030730715,0.4773085615447112,0.49508651333376513,0.3527608981187167,0.40570098823203554,0
1743,2240,1992,6.993103981018066,8.98712158203125,7.992118835449219,BASELINE,0.38798435035343865,0.35234152902315097,0.46008147421624557,0.3643444633941734,0.3751699347801847,0
1992,2489,2241,7.992118835449219,9.986136436462402,8.991133689880371,BASELINE,0.9451034194345843,1.1746851714132525,1.5148169187412344,0.5382100878991783,0.5527014996846722,0
2241,2738,2490,8.991133689880371,10.985151290893555,9.990148544311523,BASELINE,1.5208151655901703,2.5003239124309213,1.8864119822266932,0.8441525839771499,0.8523721837259168,0
2490,2987,2739,9.990148544311523,11.984166145324707,10.989163398742676,BASELINE,4.111683286860767,8.029337408036223,5.281486950452604,1.6200726063429056,1.515836182611339,0
2739,3236,2988,10.989163398742676,12.98318099975586,11.988178253173828,BASELINE,10.743578760027834,18.7785692646052,18.54664736133501,3.909221149917319,1.739877264253805,0
2988,3485,3237,11.988178253173828,13.982195854187012,12.98719310760498,BASELINE,11.744188024614044,20.90617742230188,19.926396117005954,4.299369040529163,1.8448095186191802,0
3237,3734,3486,12.98719310760498,14.981210708618164,13.986207962036133,BASELINE,6.322804665458788,12.248909551378748,9.089859242083747,2.3584074580675507,1.594042410305108,0
3486,3983,3735,13.986207962036133,15.980225563049316,14.985222816467285,BASELINE,4.236249475199461,12.464227649608654,2.3431986862137753,1.3280810037472173,0.8094905612281967,0
3735,4232,3984,14.985222816467285,16.97924041748047,15.984237670898438,BASELINE,4.249908127294579,12.556194265676696,2.0760679524294168,1.5690110908002444,0.7983592002719565,0
3984,4481,4233,15.984237670898438,17.97825527191162,16.98325252532959,BASELINE,4.6780527886003815,8.548412539231654,7.3575544643815025,1.390242665879107,1.416001484909264,0
4233,4730,4482,16.98325252532959,18.977270126342773,17.982267379760742,BASELINE,6.105914704238178,12.23166467153272,9.434955282147783,1.34389015503485,1.4131487082373602,0
4482,4979,4731,17.982267379760742,19.976284980773926,18.981282234191895,BASELINE,5.1399532197723,10.10446080810749,7.995498099953731,1.3755138975363836,1.0843400734915973,0
4731,5228,4980,18.981282234191895,20.975299835205078,19.980297088623047,BASELINE,5.360090663527569,5.714800034087108,13.430549553204123,1.203220713014641,1.0917923538044039,0
4980,5477,5229,19.980297088623047,21.97431468963623,20.9793119430542,BASELINE,5.909867354469398,4.324330514111786,17.461312220104105,0.7744651649727963,1.079361518688904,0
5229,5726,5478,20.9793119430542,22.973329544067383,21.97832679748535,BASELINE,5.044960023282661,5.2683010384405415,13.289964218953019,0.6704753591481767,0.9510994765889037,0
5478,5975,5727,21.97832679748535,23.972344398498535,22.977341651916504,BASELINE,3.8252678331475716,5.233641720339106,8.918417357278473,0.6718818232700132,0.4771304317026936,0
5727,6224,5976,22.977341651916504,24.971359252929688,23.976356506347656,BASELINE,2.563386898072982,1.7803234026624895,7.464432435247348,0.6257419285013337,0.3830498258807579,0
5976,6473,6225,23.976356506347656,25.97037410736084,24.97537136077881,BASELINE,1.1154342526066194,2.1817357880459185,1.368234290096352,0.5390651498650381,0.3727017824191693,0
6225,6722,6474,24.97537136077881,26.969388961791992,25.97438621520996,BASELINE,1.1684027565436956,2.3318788556164236,1.081577999104447,0.676715851259956,0.5834383201939559,0
6474,6971,6723,25.97438621520996,27.968403816223145,26.973401069641113,BASELINE,0.6998603686121974,0.9989312382414668,0.6805100579239236,0.6066808293071897,0.5133193489762096,0
6723,7220,6972,26.973401069641113,28.967418670654297,27.972415924072266,BASELINE,0.2579046211223779,0.21502882931400946,0.3663015938776756,0.24413587212766508,0.2061521891701615,0
6972,7469,7221,27.972415924072266,29.96643352508545,28.971430778503418,BASELINE,0.26636842047939524,0.23496818147042714,0.40201619539889755,0.2272077242628496,0.2012815807854068,0
7221,7718,7470,28.971430778503418,30.9654483795166,29.97044563293457,BASELINE,0.27720634705696284,0.24961785355590682,0.41688670590399257,0.22822018644044945,0.21410064232750242,0
7470,7967,7719,29.97044563293457,31.964463233947754,30.969460487365723,BASELINE,0.4291842008215384,0.3232580145164663,0.7807981017416665,0.29785875440095894,0.3148219326270618,0
7719,8216,7968,30.969460487365723,32.963478088378906,31.968475341796875,BASELINE,0.6199350634859438,0.5102104760711857,0.896087127979631,0.5664210582808197,0.5070215916121387,0
7968,8465,8217,31.968475341796875,33.96249294281006,32.96749019622803,BASELINE,0.5118135583450726,0.47135769473001266,0.5814527172886477,0.5399723072963563,0.45447151406527386,0
8217,8714,8466,32.96749019622803,34.96150779724121,33.96650505065918,BASELINE,0.26065217297283544,0.24105969078213968,0.32556698351189656,0.24458610162309538,0.2313959159742102,0
8466,8963,8715,33.96650505065918,35.96052265167236,34.96551990509033,BASELINE,0.2576209012436199,0.21332160745341286,0.3469631639671094,0.25742430822659407,0.2127745253273635,0
8715,9212,8964,34.96551990509033,36.959537506103516,35.964534759521484,BASELINE,0.3699751888239065,0.35407385230768884,0.48610793780431183,0.31880156121535913,0.3209174039682663,0
8964,9461,9213,35.964534759521484,37.95855236053467,36.96354961395264,BASELINE,0.5322391978071633,0.8296359344069366,0.49057888360882623,0.42712089159384975,0.38162108161904074,0
9213,9710,9462,36.96354961395264,38.95756721496582,37.96256446838379,BASELINE,0.5047948687585054,0.8037396817931244,0.3763406106931364,0.46769898835587265,0.3714001941918884,0
9462,9959,9711,37.96256446838379,39.95658206939697,38.96157932281494,BASELINE,0.41320206670951487,0.34039216684163337,0.38583038916270496,0.44795945848877833,0.478626252344943,0
9711,10208,9960,38.96157932281494,40.955596923828125,39.960594177246094,BASELINE,0.41625461405016995,0.3125160327146084,0.3843214591368255,0.46370573635485457,0.5044752279943912,0
9960,10457,10209,39.960594177246094,41.95461177825928,40.959609031677246,BASELINE,0.37108229469677956,0.32249722864905295,0.36741472313816237,0.41968244274645217,0.37473478425345075,0
10209,10706,10458,40.959609031677246,42.95362663269043,41.9586238861084,BASELINE,0.37220915070934535,0.3496273295747446,0.3785233426926992,0.3941446731711494,0.36654125739878834,0
10458,10955,10707,41.9586238861084,43.95264148712158,42.95763874053955,BASELINE,0.37323855977989023,0.31818558293150817,0.3736192621366699,0.3872052926034412,0.41394410144794175,0
10707,11204,10956,42.95763874053955,44.951656341552734,43.9566535949707,BASELINE,0.344482398579875,0.28760003829936615,0.37914399182507363,0.3555922922233673,0.35559327197169277,0
10956,11453,11205,43.9566535949707,45.95067119598389,44.955668449401855,BASELINE,0.3302312736512809,0.28836791611631135,0.41516009877590376,0.3362198472354942,0.2811772324774141,0
11205,11702,11454,44.955668449401855,46.94968605041504,45.95468330383301,ACTIVE,0.35407258289866744,0.3711462140314779,0.43733176735318047,0.3001001396627798,0.3077122105472317,0
11454,11951,11703,45.95468330383301,47.94870090484619,46.95369815826416,ACTIVE,0.35337410585383516,0.3473605168339704,0.47111771422985976,0.2740519548764882,0.3209662374750224,0
11703,12200,11952,46.95369815826416,48.947715759277344,47.95271301269531,ACTIVE,0.2961911616568516,0.21761099352888494,0.4261050694686392,0.28116767272733223,0.2598809109025501,0
11952,12449,12201,47.95271301269531,49.946730613708496,48.951727867126465,ACTIVE,0.2939428087413991,0.2137430007645106,0.3535726744948845,0.3383440085896095,0.2701115511165919,0
12201,12698,12450,48.951727867126465,50.94574546813965,49.95074272155762,ACTIVE,0.2974455070408519,0.21226529007401665,0.34330643255287985,0.3450976901948079,0.2891126153417032,0
12450,12947,12699,49.95074272155762,51.9447603225708,50.94975757598877,ACTIVE,0.3081250090606088,0.2541081211792716,0.37443131584854544,0.32356301946574695,0.2803975797488712,0
12699,13196,12948,50.94975757598877,52.94377517700195,51.94877243041992,ACTIVE,0.3397623860179336,0.279899429281905,0.42794885631203755,0.30309326965949657,0.34810798881829536,0
