train_session,test_session,task,accuracy,macro_f1,notes,selected_channels,excluded_channels,train_calibration_windows,test_calibration_windows,train_class_counts,test_class_counts,confusion_matrix_csv
LR-3-15-26-(04).csv,LR-2-27-26-(01).csv,left_vs_all,0.7683352735739232,0.43449637919684003,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9991) | Channel_5: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9959),89,89,"{'ALL': 1186, 'LEFT': 316}","{'ALL': 660, 'LEFT': 199}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-15-26-04_csv_to_LR-2-27-26-01_csv_left_vs_all.csv
LR-3-8-26-(03).csv,LR-2-27-26-(01).csv,left_vs_all,0.7683352735739232,0.43449637919684003,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000) | Channel_5: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 613, 'LEFT': 146}","{'ALL': 660, 'LEFT': 199}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-03_csv_to_LR-2-27-26-01_csv_left_vs_all.csv
LR-2-27-26-(01).csv,LR-3-8-26-(02).csv,right_vs_all,0.8730636833046471,0.46611532276590856,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 694, 'RIGHT': 165}","{'ALL': 2029, 'RIGHT': 295}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-2-27-26-01_csv_to_LR-3-8-26-02_csv_right_vs_all.csv
LR-3-15-26-(04).csv,LR-3-8-26-(02).csv,right_vs_all,0.8730636833046471,0.46611532276590856,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9991) | Channel_5: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9959),89,89,"{'ALL': 1204, 'RIGHT': 298}","{'ALL': 2029, 'RIGHT': 295}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-15-26-04_csv_to_LR-3-8-26-02_csv_right_vs_all.csv
LR-3-8-26-(03).csv,LR-3-8-26-(02).csv,right_vs_all,0.8730636833046471,0.46611532276590856,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000) | Channel_5: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 626, 'RIGHT': 133}","{'ALL': 2029, 'RIGHT': 295}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-03_csv_to_LR-3-8-26-02_csv_right_vs_all.csv
LR-2-27-26-(01).csv,LR-3-8-26-(03).csv,right_vs_all,0.8247694334650857,0.451985559566787,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 694, 'RIGHT': 165}","{'ALL': 626, 'RIGHT': 133}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-2-27-26-01_csv_to_LR-3-8-26-03_csv_right_vs_all.csv
LR-3-15-26-(04).csv,LR-3-8-26-(03).csv,right_vs_all,0.8247694334650857,0.451985559566787,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9991) | Channel_5: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9959),89,89,"{'ALL': 1204, 'RIGHT': 298}","{'ALL': 626, 'RIGHT': 133}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-15-26-04_csv_to_LR-3-8-26-03_csv_right_vs_all.csv
LR-3-8-26-(02).csv,LR-3-8-26-(03).csv,right_vs_all,0.8247694334650857,0.451985559566787,weak separation,"Channel_1, Channel_3, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9271) | Channel_4: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.0604) | Channel_5: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9715) | Channel_6: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.1665),89,89,"{'ALL': 2029, 'RIGHT': 295}","{'ALL': 626, 'RIGHT': 133}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-02_csv_to_LR-3-8-26-03_csv_right_vs_all.csv
LR-3-15-26-(04).csv,LR-2-27-26-(01).csv,right_vs_all,0.8079161816065192,0.4468770122343851,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9991) | Channel_5: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9959),89,89,"{'ALL': 1204, 'RIGHT': 298}","{'ALL': 694, 'RIGHT': 165}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-15-26-04_csv_to_LR-2-27-26-01_csv_right_vs_all.csv
LR-3-8-26-(02).csv,LR-2-27-26-(01).csv,right_vs_all,0.8079161816065192,0.4468770122343851,weak separation,"Channel_1, Channel_3, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9271) | Channel_4: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.0604) | Channel_5: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9715) | Channel_6: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.1665),89,89,"{'ALL': 2029, 'RIGHT': 295}","{'ALL': 694, 'RIGHT': 165}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-02_csv_to_LR-2-27-26-01_csv_right_vs_all.csv
LR-3-8-26-(03).csv,LR-2-27-26-(01).csv,right_vs_all,0.8079161816065192,0.4468770122343851,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000) | Channel_5: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 626, 'RIGHT': 133}","{'ALL': 694, 'RIGHT': 165}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-03_csv_to_LR-2-27-26-01_csv_right_vs_all.csv
LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,right_vs_all,0.8015978695073236,0.4449371766444937,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 694, 'RIGHT': 165}","{'ALL': 1204, 'RIGHT': 298}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-2-27-26-01_csv_to_LR-3-15-26-04_csv_right_vs_all.csv
LR-3-8-26-(02).csv,LR-3-15-26-(04).csv,right_vs_all,0.8015978695073236,0.4449371766444937,weak separation,"Channel_1, Channel_3, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9271) | Channel_4: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.0604) | Channel_5: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9715) | Channel_6: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.1665),89,89,"{'ALL': 2029, 'RIGHT': 295}","{'ALL': 1204, 'RIGHT': 298}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-02_csv_to_LR-3-15-26-04_csv_right_vs_all.csv
LR-3-8-26-(03).csv,LR-3-15-26-(04).csv,right_vs_all,0.8015978695073236,0.4449371766444937,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000) | Channel_5: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 626, 'RIGHT': 133}","{'ALL': 1204, 'RIGHT': 298}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-03_csv_to_LR-3-15-26-04_csv_right_vs_all.csv
