,pred_INACTIVE,pred_ONSET,pred_ACTIVE,pred_OFFSET
true_INACTIVE,2696,22,52,35
true_ONSET,83,100,10,8
true_ACTIVE,155,41,733,62
true_OFFSET,70,3,16,111
