family,filename,session_rank,parsed_date,inactive_reference_uv,active_reference_uv,reference_gap_uv,active_threshold_uv,release_threshold_uv,peak_prominence_uv,config,split_role
jaw,HR-2-27-26-(01).csv,1,2026-02-27,0.20525251516760992,1.0647500593297143,0.8594975441621044,0.5060766556243464,0.33417714679192556,0.2148743860405261,"{'smoothing_sec': 0.25, 'onset_duration_sec': 0.2, 'offset_duration_sec': 0.2, 'minimum_active_duration_sec': 0.15, 'minimum_peak_distance_sec': 0.35, 'inactive_quantile': 0.9, 'active_quantile': 0.75, 'threshold_mix': 0.35, 'release_threshold_mix': 0.15, 'minimum_reference_gap_uv': 0.05, 'peak_prominence_scale': 0.25, 'minimum_peak_prominence_uv': 0.05, 'manual_active_threshold_uv': None, 'manual_release_threshold_uv': None, 'repeated_fallback_mode': 'coarse_single_event'}",train
jaw,HR-3-8-26-(02).csv,2,2026-03-08,0.29594638444065924,0.5774139572982501,0.28146757285759083,0.39446003494081605,0.33816652036929784,0.07036689321439771,"{'smoothing_sec': 0.25, 'onset_duration_sec': 0.2, 'offset_duration_sec': 0.2, 'minimum_active_duration_sec': 0.15, 'minimum_peak_distance_sec': 0.35, 'inactive_quantile': 0.9, 'active_quantile': 0.75, 'threshold_mix': 0.35, 'release_threshold_mix': 0.15, 'minimum_reference_gap_uv': 0.05, 'peak_prominence_scale': 0.25, 'minimum_peak_prominence_uv': 0.05, 'manual_active_threshold_uv': None, 'manual_release_threshold_uv': None, 'repeated_fallback_mode': 'coarse_single_event'}",train
jaw,HR-3-15-26-(03).csv,3,2026-03-15,0.17086064148103494,0.8683334610691952,0.6974728195881602,0.414976128336891,0.275481564419259,0.17436820489704005,"{'smoothing_sec': 0.25, 'onset_duration_sec': 0.2, 'offset_duration_sec': 0.2, 'minimum_active_duration_sec': 0.15, 'minimum_peak_distance_sec': 0.35, 'inactive_quantile': 0.9, 'active_quantile': 0.75, 'threshold_mix': 0.35, 'release_threshold_mix': 0.15, 'minimum_reference_gap_uv': 0.05, 'peak_prominence_scale': 0.25, 'minimum_peak_prominence_uv': 0.05, 'manual_active_threshold_uv': None, 'manual_release_threshold_uv': None, 'repeated_fallback_mode': 'coarse_single_event'}",test
