,pred_INACTIVE,pred_ONSET,pred_ACTIVE,pred_OFFSET
true_INACTIVE,2694,23,61,27
true_ONSET,66,112,23,0
true_ACTIVE,154,20,801,16
true_OFFSET,54,1,20,125
