family,task_type,dataset_condition,feature_mode,with_asymmetry,model_name,train_files,test_file,selected_channels,excluded_channels,feature_count,train_class_counts,test_class_counts,accuracy,macro_f1,active_precision,active_recall,active_to_rest_errors,rest_to_active_errors,confusion_matrix_csv
left_right,active_vs_rest,custom_subset_2_sessions,combined,True,LDA,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),78,"{'ACTIVE': 164, 'REST': 232}","{'ACTIVE': 274, 'REST': 411}",0.6773722627737226,0.6313626080879362,0.6568047337278107,0.4051094890510949,163,58,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_feb27_mar15_with_asym_LDA.csv
left_right,active_vs_rest,custom_subset_2_sessions,combined,False,LDA,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),48,"{'ACTIVE': 164, 'REST': 232}","{'ACTIVE': 274, 'REST': 411}",0.6744525547445256,0.6124435175530065,0.6861313868613139,0.34306569343065696,180,43,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_feb27_mar15_no_asym_LDA.csv
left_right,active_vs_rest,custom_subset_2_sessions,combined,True,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),78,"{'ACTIVE': 164, 'REST': 232}","{'ACTIVE': 274, 'REST': 411}",0.6175182481751825,0.5927282464644263,0.5247933884297521,0.4635036496350365,147,115,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_feb27_mar15_with_asym_LogisticRegression.csv
left_right,active_vs_rest,custom_subset_2_sessions,combined,False,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),48,"{'ACTIVE': 164, 'REST': 232}","{'ACTIVE': 274, 'REST': 411}",0.5868613138686132,0.5693843143091335,0.4835164835164835,0.48175182481751827,142,141,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_feb27_mar15_no_asym_LogisticRegression.csv
left_right,active_vs_rest,custom_subset_2_sessions,combined,False,RandomForest,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),48,"{'ACTIVE': 164, 'REST': 232}","{'ACTIVE': 274, 'REST': 411}",0.6204379562043796,0.49538737023437146,0.6,0.15328467153284672,232,28,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_feb27_mar15_no_asym_RandomForest.csv
left_right,active_vs_rest,custom_subset_2_sessions,combined,True,RandomForest,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),78,"{'ACTIVE': 164, 'REST': 232}","{'ACTIVE': 274, 'REST': 411}",0.5795620437956205,0.36691312384473196,0.0,0.0,274,14,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_feb27_mar15_with_asym_RandomForest.csv
