family,filename,file_path,session_date,session_rank,split_role,label,segment_kind,segment_source,segment_context,segment_index,start_sample,end_sample,start_time_sec,end_time_sec,window_sec,overlap,Channel_1_mean,Channel_1_std,Channel_1_rms,Channel_1_ptp,Channel_1_var,Channel_1_energy,Channel_3_mean,Channel_3_std,Channel_3_rms,Channel_3_ptp,Channel_3_var,Channel_3_energy,Channel_7_mean,Channel_7_std,Channel_7_rms,Channel_7_ptp,Channel_7_var,Channel_7_energy,Channel_8_mean,Channel_8_std,Channel_8_rms,Channel_8_ptp,Channel_8_var,Channel_8_energy
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,0,497,0.0,1.9944915771484375,2.0,0.5,0.1476399792267574,1.156096796006538,1.1654858923224511,7.377317989433614,1.3365598017365827,1.3583573652026601,0.17214312330210157,1.2588959439455718,1.2706109760988276,8.487781606678544,1.5848189976826124,1.6144522525828153,0.10822286855230766,1.202717645541455,1.20757688126863,7.395405856812782,1.446529734896781,1.458241924174471,0.12529768749615838,1.2698662628808808,1.2760328507115086,8.121154909699014,1.612560325603054,1.6282598360949392
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,249,746,0.9992523193359375,2.993743896484375,2.0,0.5,-0.015293399374305657,1.5169233696299929,1.517000460578056,7.735925196928639,2.301056509329612,2.3012903973940344,-0.01707181241122958,1.7480738925600985,1.7481572528320268,8.974936177994955,3.055762333850215,3.056053780629219,-2.2767863782817985e-05,1.448096281119544,1.4480962812985292,7.73167541216515,2.096982839392253,2.096982839910629,0.00768426762867437,1.5386736391659102,1.5386928269908373,8.121154909699014,2.3675165678640657,2.3675756158330548
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,498,995,1.998504638671875,3.9929962158203125,2.0,0.5,-0.10837583457048779,1.0565703042339032,1.0621139907315844,6.951963064651436,1.1163408077889228,1.1280861293077722,-0.15668795573815666,1.27321229454084,1.2828174704311417,8.412232250131996,1.6210695469699508,1.6456206624433531,-0.06923068224334426,0.9590387587157349,0.9615343093633717,6.296094218397686,0.9197553407190174,0.9245482280828963,-0.11815680091904689,1.0243274857909823,1.031119696131491,6.2881067955059695,1.0492467981468752,1.0632078277502985
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,747,1244,2.9977569580078125,4.99224853515625,2.0,0.5,0.02993677613480063,0.4287626712794621,0.42980651326852315,2.3201521530772125,0.18383742828270005,0.18473363884804517,0.034290964198705816,0.4926777948417472,0.4938696991675068,2.3816758614238793,0.24273140953012673,0.24390727975580365,0.021855108950217025,0.4099982997304352,0.4105803838093993,2.5134760195470105,0.16809860578184782,0.16857625156907366,0.03430524679886485,0.49855820347160484,0.49973706307093646,3.2257149323549443,0.2485602822488341,0.24973713220676513
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,996,1493,3.99700927734375,5.9915008544921875,2.0,0.5,0.021919971900885522,0.39244802736941875,0.39305971474355356,2.069654659821783,0.15401545418614807,0.1544959393542837,0.01634444773845276,0.44264045889229675,0.44294211452542875,2.3816758614238793,0.19593057584838305,0.19619771682025802,-0.02593711150079085,0.39408678711079453,0.3949393998176342,2.052843742450199,0.1553043957753087,0.15597712952831314,0.027832583519234757,0.4043023447218186,0.4052592240195347,2.4214985690306663,0.1634603859475602,0.1642350386529154
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,1245,1742,4.9962615966796875,6.990753173828125,2.0,0.5,-0.0012709897095305013,0.3532115762091417,0.3532138629541429,2.041826666728329,0.1247584175681463,0.12476003298298806,-0.02495059692375945,0.3885488541718857,0.3893491291439307,1.9329898497524547,0.15097021207828532,0.15159274436513723,-0.10371278719032226,0.5006393571221887,0.5112691151697933,2.8003570446316406,0.25063976589971837,0.2613961081265034,-0.003212851858795744,0.3510966098475123,0.3511113097914717,1.924638683544135,0.12326882944641628,0.12327915186348283
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,1494,1991,5.995513916015625,7.9900054931640625,2.0,0.5,-0.015262052794604205,0.4041620823786517,0.4044501441317005,2.4134095516550813,0.16334698883264803,0.1635799190881533,-0.020308785278688755,0.4639585918689916,0.4644028657626408,2.4374935429763345,0.21525757496905748,0.21567002172855335,-0.01766566525367194,0.7010103238502551,0.7012328784886618,3.5721776430337187,0.49141547414463943,0.49172754987349426,-0.003895145590526351,0.4059985785765065,0.406017263137068,2.312181234345969,0.16483484580614374,0.16485001796531512
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,1743,2240,6.9947662353515625,8.9892578125,2.0,0.5,0.010830895301215403,0.436279800792039,0.4364142216658013,2.5516405154410817,0.19034006457914124,0.19045737287216716,0.09349665452031115,0.6023141592869458,0.6095276621155358,2.760323159895851,0.3627823464775403,0.3715239708840308,0.1087362338410018,0.6736411126372503,0.6823605477935236,3.283882508658877,0.45379234863515266,0.46561591718507767,0.01647950401561237,0.4851964130120061,0.48547619226108074,3.00422065845681,0.23541555919971724,0.23568713325231783
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,1992,2489,7.9940185546875,9.988510131835938,2.0,0.5,0.027675467953333824,0.45837953315400376,0.45921425058562637,2.5652786552295606,0.2101117964144824,0.21087772794091844,0.06437379511338402,0.734334453300763,0.737150645934622,3.52143027212172,0.5392470893045305,0.5433910748018304,0.029671491711649588,0.5533159720834838,0.5541109657668626,2.9836849388500557,0.3061585649626906,0.30703896238308515,0.02147575187293889,0.519641994794047,0.5200855801423883,3.00422065845681,0.27002780275353644,0.2704890106720445
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,2241,2738,8.993270874023438,10.987762451171875,2.0,0.5,-0.003691410275183217,0.406852486966032,0.406869232874968,2.0803063905816814,0.16552894615044522,0.16554257266026495,-0.04797485522230737,0.7077215117948273,0.7093457020316379,3.777988531121267,0.5008697382571559,0.5031713249907572,-0.0012376685355157046,0.4945595704167677,0.4945611190886538,2.3023395870564407,0.2445891686908178,0.2445907005142216,-0.022636140591786154,0.5436127702143045,0.5440838527294863,2.753379806246832,0.2955148439400703,0.29602723880096143
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,2490,2987,9.992523193359375,11.987014770507812,2.0,0.5,-0.018975836574828764,0.3164760224289492,0.3170444056377014,1.6359769630491732,0.10015707277244874,0.10051715514616336,-0.042732270871578895,0.5492224513543051,0.5508823359352467,3.2172042891689787,0.30164530107163207,0.30347134804547404,0.006074563269979051,0.39575744840186755,0.39580406552292746,1.9954656479493267,0.15662395796555686,0.15666085828447784,-0.030965755723231552,0.47008586255640294,0.47110465525497436,2.753379806246832,0.22098071817539738,0.22193959620290823
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,2739,3236,10.991775512695312,12.98626708984375,2.0,0.5,-0.018181846020064753,0.31580540525776357,0.31632836343697923,1.7303852816533212,0.09973305399002029,0.10006363351471763,-0.05243466320509418,0.3985349135131644,0.4019694903775374,2.0620227064356667,0.15883007728894544,0.1615794711943771,-0.005596075687667419,0.4373898798604709,0.43742567719266234,2.2158941971377253,0.19130990700435715,0.19134122306745927,-0.014949865361409046,0.3593940951707384,0.35970489865710475,2.1110938764446106,0.12916411564359376,0.129387614117918
left_right,LR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EEG_LR/LR-2-27-26-(01).csv,2026-02-27,1,train,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,2988,3485,11.99102783203125,13.985519409179688,2.0,0.5,0.01972409887802946,0.4040311612765079,0.4045123228765643,2.0547907988667635,0.16324117928244355,0.16363021935899383,0.028558661310959087,0.6851966199994874,0.6857915172955961,3.3556800436818217,0.46949440805872195,0.47031000519459587,0.01680919830239268,0.5251879589191744,0.5254568881851845,2.6317710952739475,0.27582239219368837,0.2761049413412575,0.027279054605394593,0.44443718591061926,0.4452735777477869,2.4507698274626732,0.19752441222015035,0.19826855904031446
