filename,split_role,reference_event_id,reference_onset_time_sec,click_time_sec,lag_sec,coarse_label,event_source,trigger_reason
HR-2-27-26-(01).csv,train,1,59.92930555343628,60.07774472236633,0.1484391689300537,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,2,60.49096727371216,60.57922840118408,0.08826112747192383,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,8,64.06955480575562,64.18991088867188,0.12035608291625977,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,12,66.49272394180298,66.59703254699707,0.1043086051940918,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,13,83.15401768684387,83.44688415527344,0.29286646842956543,HOLD,hold_marker_edges,binary_crossing
HR-2-27-26-(01).csv,train,14,97.84548354148865,97.98991084098816,0.14442729949951172,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,15,98.47534704208374,98.59169125556946,0.11634421348571777,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,17,99.63477730751038,99.79525208473206,0.1604747772216797,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,18,100.33284258842468,100.39703249931335,0.06418991088867188,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,19,100.98677730560303,101.0991096496582,0.11233234405517578,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,25,104.84218382835388,104.9103856086731,0.06820178031921387,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,26,120.78134107589722,120.95786333084106,0.17652225494384766,HOLD,hold_marker_edges,binary_crossing
HR-2-27-26-(01).csv,train,27,134.517982006073,134.59821939468384,0.08023738861083984,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,29,135.66136479377747,135.80178022384644,0.14041543006896973,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,31,137.04545974731445,137.10563778877258,0.06017804145812988,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,32,137.68735885620117,137.80771493911743,0.12035608291625977,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,33,138.30919861793518,138.50979208946228,0.2005934715270996,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,35,139.6210799217224,139.81364965438843,0.19256973266601562,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,38,141.69521641731262,141.81958436965942,0.12436795234680176,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,40,158.8700294494629,159.17091965675354,0.3008902072906494,HOLD,hold_marker_edges,binary_crossing
HR-2-27-26-(01).csv,train,41,173.1161777973175,173.2124626636505,0.09628486633300781,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,42,173.67783951759338,173.8142430782318,0.13640356063842773,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,46,176.41794633865356,176.6225516796112,0.2046053409576416,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,47,177.13205909729004,177.32462882995605,0.19256973266601562,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,48,177.8822786808014,178.0267059803009,0.14442729949951172,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,50,179.27439737319946,179.4308602809906,0.1564629077911377,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,51,179.98851013183594,180.13293743133545,0.14442729949951172,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,52,180.63843297958374,180.73471784591675,0.09628486633300781,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,54,212.42447447776794,212.52878308296204,0.1043086051940918,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,56,213.87677121162415,213.93293738365173,0.05616617202758789,REPEATED,repeated_peaks,binary_crossing
HR-2-27-26-(01).csv,train,57,214.59088397026062,214.73531126976013,0.14442729949951172,REPEATED,repeated_peaks,binary_crossing
