family,dataset_condition,task_type,feature_mode,with_asymmetry,effective_asymmetry_feature_count,model_name,train_files,test_file,selected_channels,excluded_channels,window_sec,overlap,feature_count,train_window_count,test_window_count,accuracy,macro_f1,confusion_matrix_csv
left_right,clean_sessions,2_class,time_only,False,0,LDA,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,36,164,274,0.551094890510949,0.5374861048211124,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_time_only_no_asym_LDA.csv
left_right,clean_sessions,2_class,time_only,True,0,LDA,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,36,164,274,0.551094890510949,0.5374861048211124,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_time_only_with_asym_LDA.csv
left_right,clean_sessions,2_class,time_only,False,0,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,36,164,274,0.5364963503649635,0.536193636957362,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_time_only_no_asym_LogisticRegression.csv
left_right,clean_sessions,2_class,time_only,True,0,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,36,164,274,0.5364963503649635,0.536193636957362,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_time_only_with_asym_LogisticRegression.csv
left_right,clean_sessions,2_class,combined,False,0,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,48,164,274,0.5364963503649635,0.536193636957362,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_combined_no_asym_LogisticRegression.csv
left_right,clean_sessions,2_class,combined,True,30,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,78,164,274,0.5328467153284672,0.5326226012793176,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_combined_with_asym_LogisticRegression.csv
left_right,clean_sessions,2_class,spectral_only,False,0,LDA,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,12,164,274,0.5291970802919708,0.5238634067488381,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_spectral_only_no_asym_LDA.csv
left_right,clean_sessions,2_class,spectral_only,True,30,LDA,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,42,164,274,0.5291970802919708,0.5238634067488381,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_spectral_only_with_asym_LDA.csv
left_right,clean_sessions,2_class,spectral_only,True,30,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,42,164,274,0.5255474452554745,0.5224688974688975,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_spectral_only_with_asym_LogisticRegression.csv
left_right,clean_sessions,2_class,spectral_only,False,0,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),2.0,0.5,12,164,274,0.5218978102189781,0.517884246014157,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_left_right_feature_grid_clean_sessions_2_class_spectral_only_no_asym_LogisticRegression.csv
