family,session_rank,filename,channel,status,missing_fraction,dominant_value_fraction,rail_fraction,centered_std,min_value,max_value,max_abs_value,reasons
left_right,1,LR-2-27-26-(01).csv,Channel_8,safe,0.0,6.310641318924035e-05,0.0,5368.374285423204,-35767.17207,0.0,35767.17207,
left_right,2,LR-3-8-26-(02).csv,Channel_1,questionable,0.0,0.02944796307146688,0.02944796307146688,44118.018955543776,-172525.29234,187500.0,187500.0,rail fraction 0.0294
left_right,2,LR-3-8-26-(02).csv,Channel_2,unsafe,0.0,0.6640098707563343,0.9271194690128314,171084.0807721793,-187500.022352,187500.0,187500.022352,rail fraction 0.9271
left_right,2,LR-3-8-26-(02).csv,Channel_3,questionable,0.0,0.017264523249289298,0.019245494762360923,44878.59760666578,-187500.022352,187500.0,187500.022352,rail fraction 0.0192
left_right,2,LR-3-8-26-(02).csv,Channel_4,unsafe,0.0,0.040778872117283434,0.06044598209995381,55154.66248862845,-187500.022352,187500.0,187500.022352,rail fraction 0.0604
left_right,2,LR-3-8-26-(02).csv,Channel_5,unsafe,0.0,0.4894952707792751,0.9714851706146592,186164.66966183306,-187500.022352,187500.0,187500.022352,rail fraction 0.9715
left_right,2,LR-3-8-26-(02).csv,Channel_6,unsafe,0.0,0.16646670944821107,0.16646670944821107,95776.94090608947,-102067.877599,187500.0,187500.0,rail fraction 0.1665
left_right,2,LR-3-8-26-(02).csv,Channel_7,questionable,0.0,0.015147146811999914,0.02872563699549554,40884.36832206841,-187500.022352,187500.0,187500.022352,rail fraction 0.0287
left_right,2,LR-3-8-26-(02).csv,Channel_8,questionable,0.0,0.015299052295787877,0.019980221285988423,41637.99091529887,-187500.022352,187500.0,187500.022352,rail fraction 0.0200
left_right,3,LR-3-8-26-(03).csv,Channel_1,safe,0.0,7.047278429161638e-05,0.0,6976.728976422057,-52556.237883,0.0,52556.237883,
left_right,3,LR-3-8-26-(03).csv,Channel_2,unsafe,0.0,0.9999823818039271,0.9999823818039271,787.0096882347315,0.0,187500.0,187500.0,dominant exact value fraction 1.0000; rail fraction 1.0000
left_right,3,LR-3-8-26-(03).csv,Channel_3,safe,0.0,7.047278429161638e-05,0.0,1897.0038378204529,-50186.863564,0.0,50186.863564,
left_right,3,LR-3-8-26-(03).csv,Channel_4,safe,0.0,7.928188232806843e-05,0.0,2817.951412777494,-55877.818868,0.0,55877.818868,
left_right,3,LR-3-8-26-(03).csv,Channel_5,unsafe,0.0,0.9999559545098178,0.9999823818039271,2082.208436976009,-187500.022352,187500.0,187500.022352,dominant exact value fraction 1.0000; rail fraction 1.0000
left_right,3,LR-3-8-26-(03).csv,Channel_6,safe,0.0,6.166368625516433e-05,0.0,4477.345220404967,-77321.188429,0.0,77321.188429,
left_right,3,LR-3-8-26-(03).csv,Channel_7,safe,0.0,7.047278429161638e-05,0.0,4240.580738563941,-48131.017164,0.0,48131.017164,
left_right,3,LR-3-8-26-(03).csv,Channel_8,safe,0.0,6.166368625516433e-05,0.0,3111.1742748784704,-52642.269748,0.0,52642.269748,
left_right,4,LR-3-15-26-(04).csv,Channel_1,safe,0.0,6.610040651750008e-05,0.0,11020.44223934815,-69131.263391,0.0,69131.263391,
left_right,4,LR-3-15-26-(04).csv,Channel_2,unsafe,0.0,0.503557618307924,0.9991406947152724,187478.72557123794,-187500.022352,187500.0,187500.022352,rail fraction 0.9991
left_right,4,LR-3-15-26-(04).csv,Channel_3,safe,0.0,6.610040651750008e-05,0.0,6197.035391181468,-62369.05603,0.0,62369.05603,
left_right,4,LR-3-15-26-(04).csv,Channel_4,safe,0.0,7.082186412589294e-05,0.0,13453.942466608758,-80975.810406,0.0,80975.810406,
left_right,4,LR-3-15-26-(04).csv,Channel_5,unsafe,0.0,0.9959112177111318,0.9959112177111318,5189.300271302103,-187500.022352,0.0,187500.022352,rail fraction 0.9959
left_right,4,LR-3-15-26-(04).csv,Channel_6,safe,0.0,4.7214576083928634e-05,0.0,9621.142665564328,-70679.166398,0.0,70679.166398,
left_right,4,LR-3-15-26-(04).csv,Channel_7,safe,0.0,6.137894890910722e-05,0.0,11167.27105490991,-70048.489576,0.0,70048.489576,
left_right,4,LR-3-15-26-(04).csv,Channel_8,safe,0.0,4.2493118475535766e-05,0.0,3274.082554088303,-47376.01994,0.0,47376.01994,
