run_time_sec,event_type,target_id,lane,score,details
0.4936065673828125,click_miss,,3,0,
1.04339599609375,target_spawn,1,3,0,
2.0426483154296875,target_spawn,2,3,0,
3.395050048828125,target_spawn,3,0,0,
4.1454925537109375,target_spawn,4,3,0,
4.342132568359375,tracked_catch,1,3,1,
4.8437652587890625,tracked_catch,2,3,2,
5.4457244873046875,target_spawn,5,3,2,
6.5934600830078125,target_miss,3,0,2,
6.8422698974609375,target_spawn,6,3,2,
7.2435760498046875,tracked_catch,4,3,3,
7.8455352783203125,target_spawn,7,6,3,
8.242828369140625,tracked_catch,5,3,4,
9.193923950195312,target_spawn,8,3,4,
9.795883178710938,tracked_catch,6,3,5,
10.843292236328125,target_spawn,9,3,5,
10.895462036132812,target_miss,7,6,5,
11.645904541015625,target_spawn,10,4,5,
12.392333984375,tracked_catch,8,3,6,
12.444503784179688,target_spawn,11,3,6,
14.04571533203125,target_spawn,12,3,6,
14.0938720703125,tracked_catch,9,3,7,
15.093124389648438,target_miss,10,4,7,
15.345947265625,target_spawn,13,2,7,
15.642913818359375,tracked_catch,11,3,8,
16.74249267578125,target_spawn,14,3,8,
17.143798828125,tracked_catch,12,3,9,
17.745758056640625,target_spawn,15,3,9,
18.544357299804688,target_miss,13,2,9,
18.592514038085938,target_spawn,16,3,9,
19.643936157226562,target_spawn,17,3,9,
19.892745971679688,tracked_catch,14,3,10,
20.6431884765625,target_spawn,18,5,10,
20.843841552734375,tracked_catch,15,3,11,
21.44580078125,tracked_catch,16,3,12,
21.995590209960938,target_spawn,19,3,12,
22.794189453125,tracked_catch,17,3,13,
23.143325805664062,target_spawn,20,3,13,
24.242904663085938,target_miss,18,5,13,
24.4957275390625,target_spawn,21,3,13,
25.093673706054688,tracked_catch,19,3,14,
25.8441162109375,tracked_catch,20,3,15,
25.944442749023438,target_spawn,22,3,15,
27.445327758789062,target_spawn,23,3,15,
27.545654296875,tracked_catch,21,3,16,
28.693389892578125,tracked_catch,22,3,17,
28.994369506835938,target_spawn,24,3,17,
29.945465087890625,target_spawn,25,3,17,
30.695907592773438,tracked_catch,23,3,18,
31.245697021484375,target_spawn,26,3,18,
31.795486450195312,tracked_catch,24,3,19,
32.642242431640625,tracked_catch,25,3,20,
32.69441223144531,target_spawn,27,3,20,
33.84214782714844,target_spawn,28,3,20,
34.44410705566406,tracked_catch,26,3,21,
35.443359375,target_spawn,29,3,21,
35.49552917480469,tracked_catch,27,3,22,
36.89207458496094,target_spawn,30,1,22,
36.89207458496094,tracked_catch,28,3,23,
38.34480285644531,target_spawn,31,3,23,
38.39295959472656,tracked_catch,29,3,24,
39.44438171386719,target_spawn,32,4,24,
40.09449768066406,target_miss,30,1,24,
40.69244384765625,target_spawn,33,5,24,
41.59538269042969,tracked_catch,31,3,25,
42.04484558105469,target_spawn,34,3,25,
42.89561462402344,target_miss,32,4,25,
43.39323425292969,target_spawn,35,3,25,
43.79454040527344,target_miss,33,5,25,
44.54498291015625,target_spawn,36,5,25,
45.14292907714844,tracked_catch,34,3,26,
45.74488830566406,target_spawn,37,3,26,
45.79304504394531,click_hit,35,3,28,
46.24250793457031,hold_start,,3,28,
46.543487548828125,hold_capture,37,3,29,
47.29393005371094,target_spawn,38,3,29,
47.99220275878906,target_miss,36,5,29,
48.14469909667969,hold_capture,38,3,30,
48.59416198730469,target_spawn,39,3,30,
49.44493103027344,hold_capture,39,3,31,
49.7940673828125,target_spawn,40,4,31,
51.09429931640625,target_spawn,41,3,31,
52.09355163574219,hold_capture,41,3,32,
52.193878173828125,target_spawn,42,6,32,
52.79583740234375,target_miss,40,4,32,
52.99247741699219,target_spawn,43,0,32,
54.1923828125,target_spawn,44,3,32,
54.89466857910156,hold_end,,3,32,
55.59294128417969,target_spawn,45,3,32,
55.59294128417969,target_miss,42,6,32,
56.592193603515625,target_miss,43,0,32,
56.84501647949219,target_spawn,46,3,32,
56.945343017578125,tracked_catch,44,3,33,
57.99275207519531,target_spawn,47,3,33,
58.54254150390625,tracked_catch,45,3,34,
59.393310546875,target_spawn,48,3,34,
59.545806884765625,tracked_catch,46,3,35,
60.24407958984375,click_hit,47,3,37,
60.74571228027344,click_hit,48,3,39,
61.04267883300781,target_spawn,49,3,39,
61.343658447265625,click_hit,49,3,41,
